"","eventid","iyear","imonth","iday","approxdate","extended","resolution","country","country_txt","region","region_txt","provstate","city","latitude","longitude","specificity","vicinity","location","summary","crit1","crit2","crit3","doubtterr","alternative","alternative_txt","multiple","success","suicide","attacktype1","attacktype1_txt","attacktype2","attacktype2_txt","attacktype3","attacktype3_txt","targtype1","targtype1_txt","targsubtype1","targsubtype1_txt","corp1","target1","natlty1","natlty1_txt","targtype2","targtype2_txt","targsubtype2","targsubtype2_txt","corp2","target2","natlty2","natlty2_txt","targtype3","targtype3_txt","targsubtype3","targsubtype3_txt","corp3","target3","natlty3","natlty3_txt","gname","gsubname","gname2","gsubname2","gname3","ingroup","ingroup2","ingroup3","gsubname3","motive","guncertain1","guncertain2","guncertain3","nperps","nperpcap","claimed","claimmode","claimmode_txt","claim2","claimmode2","claimmode2_txt","claim3","claimmode3","claimmode3_txt","compclaim","weaptype1","weaptype1_txt","weapsubtype1","weapsubtype1_txt","weaptype2","weaptype2_txt","weapsubtype2","weapsubtype2_txt","weaptype3","weaptype3_txt","weapsubtype3","weapsubtype3_txt","weaptype4","weaptype4_txt","weapsubtype4","weapsubtype4_txt","weapdetail","nkill","nkillus","nkillter","nwound","nwoundus","nwoundte","property","propextent","propextent_txt","propvalue","propcomment","ishostkid","nhostkid","nhostkidus","nhours","ndays","divert","kidhijcountry","ransom","ransomamt","ransomamtus","ransompaid","ransompaidus","ransomnote","hostkidoutcome","hostkidoutcome_txt","nreleased","addnotes","scite1","scite2","scite3","dbsource","INT_LOG","INT_IDEO","INT_MISC","INT_ANY","related"
"1",2.00002e+11,2000,2,28,"",0,"",22,"Belize",2,"Central America & Caribbean","Belize","Belize City",17.497713,-88.186654,1,0,"Guatemalan embassy in Belize","2/28/2000:  Several unidentified assailants threw an improvised explosive device (IED) at the Guatemalan embassy in Belize City, Belize.  The bomb rebounded off a wall and fell back to the street, causing damage to a car when it detonated.  No one was injured in the attack.  No known group claimed responsibility for the attack but the assailants did call the police both before and after the incident warning that it was only the first attack and the next would occur inside the embassy.",1,1,1,0,NA,".",0,1,0,3,"Bombing/Explosion",NA,".",NA,".",7,"Government (Diplomatic)",46,"Embassy/Consulate","Guatemalan embassy","The Guatemalan embassy in Belize City",83,"Guatemala",14,"Private Citizens & Property",NA,".","Civilian property and people","Civilian people and property in or near the embassy",22,"Belize",NA,".",NA,".","","",NA,".","Unknown","","","","",-9,NA,NA,"","Specific motive is unknown but the attack coincided with Guatemala calling on Belize to renegotiate borders",0,NA,NA,-99,0,1,3,"Call (pre-incident)",NA,NA,".",NA,NA,".",0,6,"Explosives/Bombs/Dynamite",16,"Unknown Explosive Type",NA,".",NA,".",NA,".",NA,".",NA,".",NA,".","A homemade bomb",0,0,0,0,0,0,1,4,"Unknown",NA,"A bomb exploded underneath a parked car",0,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,"",NA,".",NA,"Although the assailants called the police before and after the attack, there is no mention of which group is responsible or what their motive was for the attack","""Bomb explodes in front of Guatemalan embassy in Belize,"" Agence France-Presse, March 1, 2000.","""Homemade bomb blasts Guatemala embassy in Belize,"" Reuters, February 29, 2000.","""Guatemalan President discusses bomb at embassy in Belize withBelizean premier,"" Prensa Libre, March 1, 2000.","UMD Schmid 2012",-9,-9,1,1,""
"2",2.00003e+11,2000,3,16,"",0,"",145,"Nicaragua",2,"Central America & Caribbean","Boaco","Boaco",12.53840896,-85.5739212,3,1,"At kilometer marker number 74 on the Managua-Boaco highway near the city of Boaco, 55 miles northeast of Managua","3/16/2000: Eugenio Olivas (also known as Camilo Turcios) was ambushed, shot and killed near Boaco, Nicaragua.  Olivas was the founder and ex-captain of the Andres Castro United Front (FUAC).  Olivas' deputy, Francisco Contreras, was also killed in the attack, and Contreras's spouse, Doribel Caceres, was critically wounded.  Members of FUAC, including the group's alleged leader, Franklin Hernandez Granados, are believed to have facilitated the attack, possibly due to personal differences.",1,0,1,1,3,"Intra/Inter-group Conflict",0,1,0,2,"Armed Assault",NA,".",NA,".",14,"Private Citizens & Property",77,"Laborer (General)/Occupation Identified","Civilians","Eugenio Olivas, former head of the Andres Castro United Front (FUAC); Francisco Contreras, Olivas' deputy; and Doribel Caceres, Contreras' spouse",145,"Nicaragua",NA,".",NA,".","","",NA,".",NA,".",NA,".","","",NA,".","Andres Castro United Front","","","","",760,NA,NA,"","Specific motive is unknown, but authorities speculate that the attack may be based upon personal differences",1,NA,NA,-99,0,0,NA,".",NA,NA,".",NA,NA,".",NA,5,"Firearms",5,"Unknown Gun Type",NA,".",NA,".",NA,".",NA,".",NA,".",NA,".","",2,0,0,1,0,0,0,NA,".",NA,"",0,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,"",NA,".",NA,"Authorities speculate that the attack was motivated by personal differences, making the attack a purely criminal act.  However, this has not been confirmed.","""Nicaragua - murder ""Camilo Turcios"" ex-FUAC leader, assassinated,"" EFE News Service, March 16, 2000.","""Pilgrims cap hajj with feast,"" Pittsburgh Post-Gazette, March 17, 2000.","""Former Nicaraguan paramilitary members suspected in ex-leader's killing,"" Associated Press, March 19, 2000.","UMD Schmid 2012",0,0,0,0,""
"3",2.00004e+11,2000,4,3,"",0,"",87,"Haiti",2,"Central America & Caribbean","Ouest","Port-au-Prince",18.5391667,-72.335,1,0,"On Delmas Street, in Port-au-Prince","4/3/2000: Jean Leopold Dominique, director and owner of Radio Haiti Inter and special advisor to President Rene Preval, was shot and killed outside of the radio station in Port-au-Prince, Haiti.  He was shot several times in the head and chest and died later in the hospital.  A security guard, Jean-Claude Louissaint, was also shot and killed in the attack.  No group has claimed responsibility and the motive behind the attack is unknown.",1,1,1,0,NA,".",0,1,0,1,"Assassination",NA,".",NA,".",10,"Journalists & Media",54,"Radio Journalist/Staff/Facility","Civilians","Jean Leopold Dominique, a radio station owner; Jean-Claude Louissaint, a security guard",87,"Haiti",NA,".",NA,".","","",NA,".",NA,".",NA,".","","",NA,".","Gunmen","","","","",710,NA,NA,"","Unknown",0,NA,NA,-99,0,0,NA,".",NA,NA,".",NA,NA,".",NA,5,"Firearms",5,"Unknown Gun Type",NA,".",NA,".",NA,".",NA,".",NA,".",NA,".","",2,0,0,0,0,0,0,NA,".",NA,"",0,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,"",NA,".",NA,"","""US warns Haiti on elections following wave of violence,"" Agence France-Presse, April 3, 2000.","""Haiti presidential advisor shot and killed,"" Reuters, April 3, 2000.","Elaine Monaghan, ""Worried by Haiti killing, US urges prompt election,"" Reuters, April 3, 2000.","UMD Schmid 2012",-9,-9,0,-9,""
"4",2.00004e+11,2000,4,10,"",0,"",87,"Haiti",2,"Central America & Caribbean","Centre","Savanette",18.225291,-73.822056,1,0,"Savanette town, about 35 miles northeast of Port-au-Prince","4/10/2000: Merilus Deus, a rural assembly candidate for the Christian Movement for a New Haiti party, and his daughter were attacked by unidentified assailants in their Savanette home in Haiti.   Merilus Deus was shot and hacked to death and his daughter, Michou, was critically injured with a machete.  No group claimed responsibility for the attack.",1,1,1,0,NA,".",0,1,0,1,"Assassination",NA,".",NA,".",2,"Government (General)",15,"Politician or Political Party Movement/Meeting/Rally","Christian Movement for a New Haiti","Merilus Deus, rural assembly candidate",87,"Haiti",14,"Private Citizens & Property",68,"Named Civilian","Civilian","Michou, daughter of Merilus Deus",87,"Haiti",NA,".",NA,".","","",NA,".","Unknown","","","","",-9,NA,NA,"","Specific motive is unknown, but the victim was a rural assembly candidate and tensions were running high since elections had been postponed",0,NA,NA,-99,0,0,NA,".",NA,NA,".",NA,NA,".",NA,5,"Firearms",5,"Unknown Gun Type",9,"Melee",23,"Knife or Other Sharp Object",NA,".",NA,".",NA,".",NA,".","The victims were shot and hacked with machetes",1,0,0,1,0,0,0,NA,".",NA,"",0,NA,NA,NA,NA,"","",0,NA,NA,NA,NA,"",NA,".",NA,"Motive and perpetrator group are unknown","""Haitian political candidate killed, daughter wounded,"" Dow Jones International News, April 13, 2000.","""Haiti politician kidnapped as election nears,"" Reuters, April 19, 2000.","","UMD Schmid 2012",-9,-9,0,-9,""
"5",2.00005e+11,2000,5,12,"",0,"",87,"Haiti",2,"Central America & Caribbean","Ouest (Department)","Port-au-Prince",18.5391667,-72.335,1,0,"","05/12/0004: On May 12, 2000, campaign organizer Branor Sanon was gunned down in Port-au-Prince Haiti. The gunman was unidentified and fled immediately but the head of Sanon’s Louvri Barriere Party believes that this is another example of a politically motivated murder. The killing took place less than two weeks before elections were to take place.",1,1,1,0,NA,".",0,1,0,1,"Assassination",NA,".",NA,".",2,"Government (General)",15,"Politician or Political Party Movement/Meeting/Rally","Louvri Barriere Party","Campaign organizer Branor Sanon",87,"Haiti",NA,".",NA,".","","",NA,".",NA,".",NA,".","","",NA,".","Unknown","","","","",-9,NA,NA,"","Unknown",0,NA,NA,1,NA,0,NA,".",NA,NA,".",NA,NA,".",NA,5,"Firearms",5,"Unknown Gun Type",NA,".",NA,".",NA,".",NA,".",NA,".",NA,".","",1,0,0,0,0,0,0,NA,".",NA,"",0,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,"",NA,".",NA,"","","","","CETIS",-9,-9,0,-9,""
"6",2.00005e+11,2000,5,17,"",0,"",87,"Haiti",2,"Central America & Caribbean","Grand'Anse (Department)","Port-au-Prince",18.5391667,-72.335,1,0,"","05/17/2000: The Provisional Electoral Council (CEP) building in Delmas was attacked with grenades by unknown perpetrators. There were no injuries as a result of the attack.",1,1,1,1,2,"Other Crime Type",0,1,0,3,"Bombing/Explosion",NA,".",NA,".",2,"Government (General)",21,"Government Building/Facility/Office","Provisional Electoral Council (CEP)","The building of the Provisional Electoral Council in Delmas",87,"Haiti",NA,".",NA,".","","",NA,".",NA,".",NA,".","","",NA,".","Unknown","","","","",-9,NA,NA,"","Unknown",0,NA,NA,NA,0,0,NA,".",NA,NA,".",NA,NA,".",NA,6,"Explosives/Bombs/Dynamite",7,"Grenade",NA,".",NA,".",NA,".",NA,".",NA,".",NA,".","",0,0,0,0,0,0,1,4,"Unknown",NA,"",0,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,"",NA,".",NA,"The Democratic Consultation Group (Espace) condemned the grenade attack. Espace spokesman, Evans Paul, viewed the attack as the work of sectors close to the government who were trying to intimidate voters.","“Haiti: RDNP, Espace Condemn Grenade Attack,” Port-au-Prince MetropoleHaiti, May 18, 2000.","","","CETIS",-9,-9,0,-9,""
"7",2.00007e+11,2000,7,20,"",0,"",83,"Guatemala",2,"Central America & Caribbean","Solola","Unknown",14.70208,-91.2506,4,0,"Solola department, 30 miles west of Guatemala City","7/20/2000: Jose Alfredo Quino and Maria Elena Mejia, two Maya Indians, were shot and killed by three masked gunmen in Solola department, Guatemala.  The victims were members of the Regional Coordination of Integrated Cooperatives (CORCI) that worked to resolve land disputes.  The assailants ambushed the car before shooting the victims at point blank range.  No group has claimed responsibility.",1,1,1,0,NA,".",0,1,0,2,"Armed Assault",NA,".",NA,".",14,"Private Citizens & Property",NA,".","Members of the Regional Coordination of Integrated Cooperatives (CORCI)","Jose Alfredo Quino and Maria Elena Mejia",83,"Guatemala",NA,".",NA,".","","",NA,".",NA,".",NA,".","","",NA,".","Protestant Extremists","","","","",1720,NA,NA,"","Unknown",0,NA,NA,3,0,0,NA,".",NA,NA,".",NA,NA,".",NA,5,"Firearms",5,"Unknown Gun Type",NA,".",NA,".",NA,".",NA,".",NA,".",NA,".","",2,0,0,0,0,0,0,NA,".",NA,"",0,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,"",NA,".",NA,"","""Gunmen kill two Guatemala Indian activists,"" Reuters, July 20, 2000.","""World briefs column,"" St. Louis Post-Dispatch, July 21, 2000.","","UMD Schmid 2012",-9,-9,0,-9,""
"8",2.00011e+11,2000,11,10,"",0,"",87,"Haiti",2,"Central America & Caribbean","Ouest (Department)","Port-au-Prince",18.5391667,-72.335,1,0,"","11/10/2000: Unidentified perpetrators hurled explosive devices at the headquarters, and two other offices, of the Haitian Provisional Electoral Council (CEP), in Port-au-Prince, Haiti. The attack did not cause any casualties or damage and no group claim responsibility.",1,1,1,0,NA,".",0,1,0,3,"Bombing/Explosion",NA,".",NA,".",2,"Government (General)",15,"Politician or Political Party Movement/Meeting/Rally","The Haitian Provisional Electoral Council [CEP]","The Haitian Provisional Electoral Council (CEP) in Port-au-Prince",87,"Haiti",NA,".",NA,".","","",NA,".",NA,".",NA,".","","",NA,".","Unknown","","","","",-9,NA,NA,"","Unknown",0,NA,NA,NA,0,0,NA,".",NA,NA,".",NA,NA,".",NA,6,"Explosives/Bombs/Dynamite",16,"Unknown Explosive Type",NA,".",NA,".",NA,".",NA,".",NA,".",NA,".","",0,0,0,0,0,0,0,NA,".",NA,"",0,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,"",NA,".",NA,"","""Explosive Devices Hurled at Haitian Electoral Council, No Casualties,” Agence France Presse, November 10, 2000.","","","CETIS",-9,-9,0,-9,""
"9",2.00011e+11,2000,11,0,"November 20-21, 2000",0,"",156,"Panama",2,"Central America & Caribbean","Panama","Tocumen",9.087022,-79.384644,1,0,"A vacant lot in Belen near Tocumen International Airport, in the vicinity of Panama City","11/20/2000: Police agents discovered eight kilograms of explosives and detonators buried in a vacant lot near Tocumen International Airport, Panama City, Panama.  The explosives were discovered just days after Cuban President Castro claimed that a group of exiles were trying to kill him during a visit to Panama.  The President's motorcade would have likely passed by the buried explosives upon his arrival.",1,1,1,0,NA,".",0,0,0,3,"Bombing/Explosion",NA,".",NA,".",7,"Government (Diplomatic)",45,"Diplomatic Personnel (outside of embassy, consulate)","Cuban government","Cuban President Fidel Castro",51,"Cuba",NA,".",NA,".","","",NA,".",NA,".",NA,".","","",NA,".","Cuban Exiles","","","","",10015,NA,NA,"","Specific motive is unknown; however, President Castro believed that a group of exiles were going to attack him while he was visiting Panama.",1,NA,NA,-99,0,0,NA,".",NA,NA,".",NA,NA,".",NA,6,"Explosives/Bombs/Dynamite",16,"Unknown Explosive Type",NA,".",NA,".",NA,".",NA,".",NA,".",NA,".","Eight kilograms of explosives and detonators buried underground",0,0,0,0,0,0,0,NA,".",NA,"",0,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,"",NA,".",NA,"After President Castro made the claim that a group of exiles were going to try and kill him, the driver of the exiled group was arrested with explosives and a hand drawn map, which possibly showed that Castro's motorcade route would pass by where the explosives were buried.  However, it is not clear that the two incidents are linked.","""Reports: Explosives found near airport days after Castro complaint,"" Associated Press, November 21, 2000.","""Panamanians arrest opponents of Castro,"" Townsville Bulletin, November 23, 2000.","""Panamanian security organizations recognize authenticity of Fidel Castro's charges,"" ACAN-EFE, November 21, 2000.","UMD Schmid 2012",1,0,1,1,""
"10",2.00011e+11,2000,11,22,"",0,"",87,"Haiti",2,"Central America & Caribbean","Ouest","Port-au-Prince",18.5391667,-72.335,1,0,"Haiti's commercial center","11/22/2000:  Unidentified assailants exploded an improvised explosive device (IED) in the commercial center of Port-au-Prince, Haiti.  Robinson Clairvil, a 14-year-old boy, was killed in the explosion, and at least three people were injured.  The incident occurred a few days before Haiti's national elections.  This was just one of a series of bomb attacks that day in and around Port-au-Prince.  No group has claimed responsibility.",1,1,1,0,NA,".",1,1,0,3,"Bombing/Explosion",NA,".",NA,".",14,"Private Citizens & Property",67,"Unnamed Civilian/Unspecified","Civilians","Civilians in the commercial district, including Robinson Clairvil, a 14-year-old boy",87,"Haiti",NA,".",NA,".","","",NA,".",NA,".",NA,".","","",NA,".","Unknown","","","","",-9,NA,NA,"","Specific motive is unknown; however, the incident occurred a few days before national elections and sources speculate that it was an intimidation tactic levied at the public to influence voting practices.",0,NA,NA,-99,0,0,NA,".",NA,NA,".",NA,NA,".",NA,6,"Explosives/Bombs/Dynamite",16,"Unknown Explosive Type",NA,".",NA,".",NA,".",NA,".",NA,".",NA,".","A homemade bomb",1,0,0,3.5,0,0,-9,NA,".",NA,"",0,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,"",NA,".",NA,"","""One killed, 14 injured in bomb attacks in Haiti,"" Agence France-Presse, November 22, 2000.","Michael Norton, ""Seven bombs explode, killing one, days before presidential election,"" Associated Press, November 22, 2000.","""Child killed in Haiti bomb explosion: report,"" Agence France-Presse, November 23, 2000.","UMD Schmid 2012",-9,-9,0,-9,"200011220015, 200011220016, 200011220017"
