"","eventid","iyear","imonth","iday","approxdate","extended","resolution","country","country_txt","region","region_txt","provstate","city","latitude","longitude","specificity","vicinity","location","summary","crit1","crit2","crit3","doubtterr","alternative","alternative_txt","multiple","success","suicide","attacktype1","attacktype1_txt","attacktype2","attacktype2_txt","attacktype3","attacktype3_txt","targtype1","targtype1_txt","targsubtype1","targsubtype1_txt","corp1","target1","natlty1","natlty1_txt","targtype2","targtype2_txt","targsubtype2","targsubtype2_txt","corp2","target2","natlty2","natlty2_txt","targtype3","targtype3_txt","targsubtype3","targsubtype3_txt","corp3","target3","natlty3","natlty3_txt","gname","gsubname","gname2","gsubname2","gname3","ingroup","ingroup2","ingroup3","gsubname3","motive","guncertain1","guncertain2","guncertain3","nperps","nperpcap","claimed","claimmode","claimmode_txt","claim2","claimmode2","claimmode2_txt","claim3","claimmode3","claimmode3_txt","compclaim","weaptype1","weaptype1_txt","weapsubtype1","weapsubtype1_txt","weaptype2","weaptype2_txt","weapsubtype2","weapsubtype2_txt","weaptype3","weaptype3_txt","weapsubtype3","weapsubtype3_txt","weaptype4","weaptype4_txt","weapsubtype4","weapsubtype4_txt","weapdetail","nkill","nkillus","nkillter","nwound","nwoundus","nwoundte","property","propextent","propextent_txt","propvalue","propcomment","ishostkid","nhostkid","nhostkidus","nhours","ndays","divert","kidhijcountry","ransom","ransomamt","ransomamtus","ransompaid","ransompaidus","ransomnote","hostkidoutcome","hostkidoutcome_txt","nreleased","addnotes","scite1","scite2","scite3","dbsource","INT_LOG","INT_IDEO","INT_MISC","INT_ANY","related"
"1",2.00001e+11,2000,1,4,"",0,"",12,"Armenia",7,"Central Asia","Yerevan (Special Administrative Region)","Yerevan",40.183333,44.516667,1,0,"","01/04/2000: The offices of a Russian-language newspaper, Novoe Vremya (New Times), in Yerevan, Armenia, were burnt down after receiving threats related to a previous article published in the newspaper on the assassination of the Armenian prime minister on October 27, 1999. The perpetrators of this incident were unknown.",1,1,1,0,NA,".",0,1,0,7,"Facility/Infrastructure Attack",NA,".",NA,".",10,"Journalists & Media",55,"Television Journalist/Staff/Facility","Novoe Vremya (New Times)","The offices of the Novoe Vremya (New Times) newspaper",12,"Armenia",NA,".",NA,".","","",NA,".",NA,".",NA,".","","",NA,".","Unknown","","","","",-9,NA,NA,"","Possibly related to an article published in the newspaper on December 31, 1999, concerning the assassination of Armenian Prime Minister Vazgen Sarkisyan on October 27, 1999.",0,NA,NA,NA,0,0,NA,".",NA,NA,".",NA,NA,".",NA,8,"Incendiary",18,"Arson/Fire",NA,".",NA,".",NA,".",NA,".",NA,".",NA,".","",0,0,0,0,0,0,1,4,"Unknown",NA,"Two editorial offices were destroyed",0,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,"",NA,".",NA,"","“Armenia: Newspaper Office Hit by Arson Attack,” ITAR-TASS, January 4, 2000.","","","CETIS",-9,-9,0,-9,""
"2",2.00001e+11,2000,1,25,"",0,"",74,"Georgia",7,"Central Asia","Abkhazia (Autonomous Republic)","Saberio",42.646663,41.914019,1,0,"","01/25/2000: Unidentified persons opened fire on an Abkhaz militia post in Saberio, Gali District, killing two militiamen.",1,1,1,1,2,"Other Crime Type",0,1,0,2,"Armed Assault",NA,".",NA,".",17,"Terrorists/Non-State Militia",93,"Terrorist","Abkhaz militia","An Abkhaz militia post in Saberio",74,"Georgia",NA,".",NA,".","","",NA,".",NA,".",NA,".","","",NA,".","Unknown","","","","",-9,NA,NA,"","Unknown",0,NA,NA,NA,0,0,NA,".",NA,NA,".",NA,NA,".",NA,5,"Firearms",5,"Unknown Gun Type",NA,".",NA,".",NA,".",NA,".",NA,".",NA,".","",2,0,0,NA,0,0,0,NA,".",NA,"",0,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,"",NA,".",NA,"","“Georgia: Two Abkhaz Militiamen Killed in Gali District,” Kavkasia-Press (Internet Version), January 25, 2000.","","","CETIS",-9,-9,0,-9,""
"3",2.00002e+11,2000,2,16,"",0,"",202,"Tajikistan",7,"Central Asia","Dushanbe (Capital City)","Dushanbe",38.536667,68.78,1,0,"","02/16/2000: Tajik Deputy Minister Shamsullo Dzhabirov was killed by a car bomb. Makhamadsaid Ubaidullayev, the mayor of Dushanbe, Tajikistan's capital city, was injured by the blast as well. No group claimed responsibility for the bombing, but it was suspected that an Islamic anti-government group was behind the attack and that the mayor of Dushanbe was the intended target.",1,1,1,0,NA,".",0,1,0,3,"Bombing/Explosion",NA,".",NA,".",2,"Government (General)",18,"Government Personnel (excluding police, military)","Government Official","Shamsullo Dzabirov, Tajikistan's Deputy Security Minister",202,"Tajikistan",2,"Government (General)",15,"Politician or Political Party Movement/Meeting/Rally","Mayor of Dushanbe","Makhmadsaid Ubaidullayev, the Mayor of Dushanbe",202,"Tajikistan",NA,".",NA,".","","",NA,".","Unknown","","","","",-9,NA,NA,"","To destabilize the country before parlimentary election.",0,NA,NA,2,2,0,NA,".",NA,NA,".",NA,NA,".",NA,6,"Explosives/Bombs/Dynamite",15,"Vehicle",NA,".",NA,".",NA,".",NA,".",NA,".",NA,".","",1,0,0,1,0,0,0,NA,".",NA,"",0,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,"",NA,".",NA,"","Gridneva, Galina and Zhukov, Valery, ""Tajik president condemns Dushanbe mayor car bomb blast,"" ITAR-TASS News Agency, February 16, 2000.","""Two Tajiks on trial for bomb attack which killed vice minister,"" Agence France Presse, March 26, 2001.","","CETIS",-9,-9,0,-9,""
"4",2.00003e+11,2000,3,22,"",0,"",16,"Azerbaijan",7,"Central Asia","Khankendi","Stepanaket",39.829805,46.759851,1,0,"The centre of Stepanakert, in Nagorno-Karabakh Republic","3/22/2000: Arkady Gukasyan, the unofficial president of the Nagorno-Karabakh enclave, was shot and wounded as he was driving home in Stepanakert, in Nagorno-Karabakh Republic, Azerbaijan.  His driver and bodyguard were also injured in the attack.  The former Nagorno-Karabakh Defense Minister Samvel Babayan and his brother, Stepanakert Mayor Karo Babayan, were arrested in connection to the attack.  Government authorities stated that the attack was designed to undermine democratic reform.",1,1,1,0,NA,".",0,0,0,1,"Assassination",NA,".",NA,".",2,"Government (General)",18,"Government Personnel (excluding police, military)","Nagorno-Karabakh enclave government","Arkady Gukasyan, the unofficial president of the Nagorno-Karabakh enclave",16,"Azerbaijan",14,"Private Citizens & Property",77,"Laborer (General)/Occupation Identified","Civilians","The driver and bodyguard of the unofficial president",16,"Azerbaijan",NA,".",NA,".","","",NA,".","Unaffiliated Individual(s)","","","","",20202,NA,NA,"","Specific motive is unknown, but government authorities state that the incident was designed to undermine democratic reform",0,NA,NA,-99,2,0,NA,".",NA,NA,".",NA,NA,".",NA,5,"Firearms",5,"Unknown Gun Type",NA,".",NA,".",NA,".",NA,".",NA,".",NA,".","",0,0,0,3,0,0,0,NA,".",NA,"",0,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,"",NA,".",NA,"","""Gunmen wound president of Nagorno-Karabakh in ambush,"" Dow Jones International News, March 22, 2000.","""Attempt on the life of Nagorny Karabakh president,"" Prime News, March 22, 2000.","Tigran Liloyan, ""2 officials arrested in Karabakh assassination attempt case,"" ITAR-TASS News Agency, March 22, 2000.","UMD Schmid 2012",-9,-9,0,-9,""
"5",2.00004e+11,2000,4,24,"",1,"",202,"Tajikistan",7,"Central Asia","Khatlon","Qurghonteppa",28.291564,-16.62913,4,0,"","04/24/2000: Unidentified armed Afghans broke into a residence in the Khatlon Oblast of Tajikistan and opened fire, killing one person and injuring another. A third person was also kidnapped. No group claimed credit for this incident and there was no information on the fate of the hostage.",1,1,1,1,2,"Other Crime Type",0,1,0,2,"Armed Assault",6,"Hostage Taking (Kidnapping)",NA,".",14,"Private Citizens & Property",71,"Race/Ethnicity Identified","Civilians","Tajik Citizens",202,"Tajikistan",NA,".",NA,".","","",NA,".",NA,".",NA,".","","",NA,".","Unknown","","","","",-9,NA,NA,"","Unknown",0,NA,NA,NA,0,0,NA,".",NA,NA,".",NA,NA,".",NA,5,"Firearms",5,"Unknown Gun Type",NA,".",NA,".",NA,".",NA,".",NA,".",NA,".","",1,0,0,1,0,0,-9,NA,".",NA,"",1,1,0,NA,-99,"","",0,NA,NA,NA,NA,"",7,"Unknown",-99,"","Edward F. Mickolus, Terrorism, 1996-2001 : A Chronology, Imprint Westport, CT: Greenwood Press, 2002.","","","CETIS",-9,-9,0,-9,""
"6",2.00005e+11,2000,5,20,"",0,"",202,"Tajikistan",7,"Central Asia","Unknown","Unknown",NA,NA,5,0,"Tajikistan, a former Soviet republic","5/20/2000: Saifullo Rakhimov, the chairman of state-run radio and television, was shot and killed near his home in Tajikistan.  Six gunmen dressed in camouflage blocked his car and then opened fire.  Rakhimov's driver was critically wounded in the attack.  No group has claimed responsibility and authorities believe the attack was a ""contracted terrorist act"".",1,1,1,0,NA,".",0,1,0,1,"Assassination",NA,".",NA,".",10,"Journalists & Media",54,"Radio Journalist/Staff/Facility","State media","Saifullo Rakhimov, the chairman of state-run radio and television",202,"Tajikistan",14,"Private Citizens & Property",77,"Laborer (General)/Occupation Identified","Civilian","The driver of Saifullo Rakhimov, the chairman of state-run radio and television",202,"Tajikistan",NA,".",NA,".","","",NA,".","Gunmen","","","","",710,NA,NA,"","Unknown",0,NA,NA,6,0,0,NA,".",NA,NA,".",NA,NA,".",NA,5,"Firearms",2,"Automatic Weapon",NA,".",NA,".",NA,".",NA,".",NA,".",NA,".","A submachine gun",1,0,0,1,0,0,0,NA,".",NA,"",0,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,"",NA,".",NA,"One source states that a submachine gun was used while a second source states that the victim was shot with a hand pistol.","""Chief of Tajikistan state television and radio slain,"" Associated Press, May 21, 2000.","""Tajikistan killing,"" Broadcast News, May 21, 2000.","Galina Gridneva, ""Murder of Tajik journalist thought ordered,"" ITAR-TASS News Agency, May 22, 2000.","UMD Schmid 2012",-9,-9,0,-9,""
"7",2.00005e+11,2000,5,24,"",0,"",74,"Georgia",7,"Central Asia","Abkhazia (Autonomous Republic)","Meore Shelsheleti",42.645873,41.645188,1,0,"","05/24/2000: The car of Otar Turnanba, a staff member of the administration of Abkhazia's Ochamchira district in Georgia, came under attack by suspected Georgian radicals in Shesheleti, Abkhazia, Georgia. Three people were injured in the incident.",1,1,1,0,NA,".",0,1,0,3,"Bombing/Explosion",NA,".",NA,".",2,"Government (General)",18,"Government Personnel (excluding police, military)","Georgian District Administration","Otar Turnanba, a Ochamchir District Administration Staff Member",74,"Georgia",NA,".",NA,".","","",NA,".",NA,".",NA,".","","",NA,".","Unknown","","","","",-9,NA,NA,"","Unknown",0,NA,NA,NA,0,0,NA,".",NA,NA,".",NA,NA,".",NA,6,"Explosives/Bombs/Dynamite",7,"Grenade",NA,".",NA,".",NA,".",NA,".",NA,".",NA,".","A grenade launcher was used in the incident.",0,0,0,3,0,0,1,3,"Minor (likely < $1 million)",NA,"The car was damaged in the attack.",0,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,"",NA,".",NA,"","""Abkhaz Administration Member Attacked by Grenade Fire,” Interfax, May 25, 2000.","","","CETIS",-9,-9,0,-9,""
"8",2.00005e+11,2000,5,25,"",0,"",107,"Kyrgyzstan",7,"Central Asia","Bishkek (Capital City)","Bishkek",42.870022,74.587883,1,0,"","05/25/2000: A Chinese delegation member was killed and two others injured when their car came under automatic weapon fire from unknown attackers in Bishkek, Kyrgyzstan. The Chinese delegation was helping to investigate an arson incident that occurred earlier in the May 2000.",1,1,1,0,NA,".",0,1,0,2,"Armed Assault",NA,".",NA,".",7,"Government (Diplomatic)",45,"Diplomatic Personnel (outside of embassy, consulate)","Xingjian Uygur Autonomous District of China Delegation","A Member of an Official Delegation from the Xingjian Uygur Autonomous District of China",44,"China",NA,".",NA,".","","",NA,".",NA,".",NA,".","","",NA,".","Unknown","","","","",-9,NA,NA,"","Unknown",0,NA,NA,NA,0,0,NA,".",NA,NA,".",NA,NA,".",NA,5,"Firearms",2,"Automatic Weapon",NA,".",NA,".",NA,".",NA,".",NA,".",NA,".","Reports of the incidents described automatic firearms being used in the attacks.",1,0,0,2,0,0,1,3,"Minor (likely < $1 million)",NA,"A Mazda was damaged in the incident.",0,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,"",NA,".",NA,"In addition to the two Chinese delegates who were killed and injured, respectively, their Kyrgyz driver was also injured.","""Chinese Delegation Member Killed in Bishkek,” Interfax, May 26, 2000.","""Kyrgyz Gunmen Fire on Chinese Delegation,” The San Diego Union-Tribune, May 27, 2000.","""Gunmen Kill One, Wound Two From Chinese Delegation in Kyrgyzstan,” Associated Press Worldstream, May 26, 2000.","CETIS",-9,-9,1,1,""
"9",2.00006e+11,2000,6,1,"",1,"6/5/2000",74,"Georgia",7,"Central Asia","Abkhazia (Autonomous Republic)","Lata",43.033102,41.481171,1,0,"The incident took place near the village of Lata.","06/01/2000: A gang of unknown individuals kidnapped United Nations observers in the Kodor Gorge, near the village of Lata, Abkhazia, Georgia. The UN observers were released them four days later, on 06/05/2000, without demand of ransom. No casualties resulted from the incident.",1,1,1,0,NA,".",0,1,0,6,"Hostage Taking (Kidnapping)",NA,".",NA,".",7,"Government (Diplomatic)",47,"International Organization (peacekeeper, aid agency, compound)","United Nations","Kai Laursen and Thomas Rosenqvist, United Nations Military Observers",55,"Denmark",12,"NGO",NA,".","Hullo Trust","John Woodword, a Member of Hullo Trust",216,"Great Britain",14,"Private Citizens & Property",77,"Laborer (General)/Occupation Identified","Abkhaz Translator","An Abkhaz Woman Interpreter",74,"Georgia","Unknown","","","","",-9,NA,NA,"","Unknown",0,NA,NA,NA,NA,0,NA,".",NA,NA,".",NA,NA,".",NA,5,"Firearms",5,"Unknown Gun Type",NA,".",NA,".",NA,".",NA,".",NA,".",NA,".","",0,0,0,0,0,0,0,NA,".",NA,"",1,4,0,NA,4,"","",0,NA,NA,NA,NA,"",2,"Hostage(s) released by perpetrators",4,"It is not certain why the gang kidnapped the observers. In the past, United Nations missionaries were kidnapped for ransom or political motives.","Elena Imedashvili, ""UN missionaries kidnapped in Georgia"", RIA Novosti, June 03, 2000.","""Five missing in Abkhazia, including two UN observers"", Agence France Presse, June 02, 2000.","""All Kodori gorge hostages freed - presidential spokesman"", Prime-News, June 06, 2000.","CETIS",-9,-9,1,1,""
"10",2.00007e+11,2000,7,16,"",0,"",202,"Tajikistan",7,"Central Asia","Dushanbe (Capital City)","Dushanbe",38.536667,68.78,1,0,"","07/16/2000: A bomb targeting a European Union vehicle exploded in Dushanbe, Tajikistan, killing one person and injuring four others. The vehicle had markings indicating that it was property of the European Community Humanitarian Aid department (ECHO). The perpetrators of this incident were not known.",1,1,1,0,NA,".",0,1,0,3,"Bombing/Explosion",NA,".",NA,".",12,"NGO",62,"International NGO","European Community Humanitarian Aid department (ECHO)","ECHO vehicle",999,"Multinational",NA,".",NA,".","","",NA,".",NA,".",NA,".","","",NA,".","Unknown","","","","",-9,NA,NA,"","Unknown",0,NA,NA,NA,0,0,NA,".",NA,NA,".",NA,NA,".",NA,6,"Explosives/Bombs/Dynamite",14,"Time Fuse",NA,".",NA,".",NA,".",NA,".",NA,".",NA,".","",1,0,0,4,0,0,1,3,"Minor (likely < $1 million)",NA,"",0,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,"",NA,".",NA,"","Edward F. Mickolus, Terrorism, 1996-2001 : A Chronology, Imprint Westport, CT: Greenwood Press, 2002.","","","CETIS",-9,-9,1,1,""
