"","eventid","iyear","imonth","iday","approxdate","extended","resolution","country","country_txt","region","region_txt","provstate","city","latitude","longitude","specificity","vicinity","location","summary","crit1","crit2","crit3","doubtterr","alternative","alternative_txt","multiple","success","suicide","attacktype1","attacktype1_txt","attacktype2","attacktype2_txt","attacktype3","attacktype3_txt","targtype1","targtype1_txt","targsubtype1","targsubtype1_txt","corp1","target1","natlty1","natlty1_txt","targtype2","targtype2_txt","targsubtype2","targsubtype2_txt","corp2","target2","natlty2","natlty2_txt","targtype3","targtype3_txt","targsubtype3","targsubtype3_txt","corp3","target3","natlty3","natlty3_txt","gname","gsubname","gname2","gsubname2","gname3","ingroup","ingroup2","ingroup3","gsubname3","motive","guncertain1","guncertain2","guncertain3","nperps","nperpcap","claimed","claimmode","claimmode_txt","claim2","claimmode2","claimmode2_txt","claim3","claimmode3","claimmode3_txt","compclaim","weaptype1","weaptype1_txt","weapsubtype1","weapsubtype1_txt","weaptype2","weaptype2_txt","weapsubtype2","weapsubtype2_txt","weaptype3","weaptype3_txt","weapsubtype3","weapsubtype3_txt","weaptype4","weaptype4_txt","weapsubtype4","weapsubtype4_txt","weapdetail","nkill","nkillus","nkillter","nwound","nwoundus","nwoundte","property","propextent","propextent_txt","propvalue","propcomment","ishostkid","nhostkid","nhostkidus","nhours","ndays","divert","kidhijcountry","ransom","ransomamt","ransomamtus","ransompaid","ransompaidus","ransomnote","hostkidoutcome","hostkidoutcome_txt","nreleased","addnotes","scite1","scite2","scite3","dbsource","INT_LOG","INT_IDEO","INT_MISC","INT_ANY","related"
"1",200001110004,2000,1,0,"01/04/2000",0,"",101,"Japan",4,"East Asia","Naka District, Ibaraki","Tokaimura",36.46667,140.56667,1,0,"Near the uranium processing plant belonging to JCO Co in Taikaimura, Japan","1/4/2000: A crude explosive device was found in a bag near the uranium processing plant belonging to JCO Co in Taikaimura, Japan.  The plant was the site of Japan's worst nuclear accident.  The timer on the device was not turned on so the device did not explode.  There was also a notebook in the bag with the name of the perpetrator on it.  Tatsufumi Oshiba was arrested for the offence.  He admitted to leaving the device as well as being responsible for other incidents in the weeks leading up to the failed Taikaimura attempt.  He said he was angry at JCO Co for a nuclear accident that had occurred in the area.",1,1,1,0,NA,".",0,0,0,3,"Bombing/Explosion",NA,".",NA,".",21,"Utilities",NA,".","Nuclear power company","JCO Co who owned the uranium processing plant in Tokaimura",101,"Japan",NA,".",NA,".","","",NA,".",NA,".",NA,".","","",NA,".","Unaffiliated Individual(s)","","","","",20202,NA,NA,"","The perpetrator was angry at JCO Co, the company that owned the uranium processing plant that had a nuclear accident",0,NA,NA,1,1,1,8,"Personal claim",NA,NA,".",NA,NA,".",0,6,"Explosives/Bombs/Dynamite",14,"Time Fuse",NA,".",NA,".",NA,".",NA,".",NA,".",NA,".","The bomb was made from aluminum cans, a steel pipe and a can of chloroethylene",0,0,0,0,0,0,0,NA,".",NA,"",0,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,"",NA,".",NA,"The perpetrator also admitted responsibility for several other explosive incidents in the weeks leading up to the failed uranium processing plant attempt","""Japan N-plant bomb suspect admits attacks-police,"" Reuters, January 13, 2000.","""Police send Tokaimura explosives case to prosecutors,"" Kyodo News, January 13, 2000.","""Man in Tokaimura explosives case indicted,"" Kyodo News, February 1, 2000.","UMD Schmid 2012",-9,-9,0,-9,""
"2",200002150003,2000,2,15,"",0,"",44,"China",4,"East Asia","Beijing (Municipality)","Beijing",39.905556,116.395833,1,0,"","02/15/2000: An unidentified suicide bomber detonated his device in the Tiananmen Square in Beijing, China. The bomber was killed in the attack. Reports did not indicate if there were other injuries and/or casualties.",1,1,1,0,NA,".",0,1,1,3,"Bombing/Explosion",NA,".",NA,".",14,"Private Citizens & Property",74,"Marketplace/Plaza/Square","Tiananmen Square","Tiananmen Square in Beijing, China",44,"China",14,"Private Citizens & Property",67,"Unnamed Civilian/Unspecified","Civilians","Civilians near Tiananmen Square in Beijing, China",44,"China",NA,".",NA,".","","",NA,".","Unknown","","","","",-9,NA,NA,"","Unknown",0,NA,NA,1,0,0,NA,".",NA,NA,".",NA,NA,".",NA,6,"Explosives/Bombs/Dynamite",13,"Suicide (carried bodily by human being)",NA,".",NA,".",NA,".",NA,".",NA,".",NA,".","",1,0,1,NA,0,0,1,4,"Unknown",NA,"",0,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,"",NA,".",NA,"","“Suicide Bomber Detonates Bomb in China's Tiananmen Square,” Hong Kong Radio 3, February 15, 2000.","“Hong Kong Radio Reports Explosion in Tiananmen Square,” Hong Kong Radio 3, February 15, 2000.","","CETIS",-9,-9,0,-9,""
"3",200006060012,2000,6,6,"",0,"",101,"Japan",4,"East Asia","Tokyo (Metropolis)","Tokyo",35.685826,139.756684,1,0,"","06/06/2000:  Tsugio Uchinishi sent envelopes stuffed with monazite to the Japanese Imperial Household Agency.  No injuries were reported in the incident.",1,1,1,0,NA,".",1,0,0,8,"Unarmed Assault",NA,".",NA,".",2,"Government (General)",21,"Government Building/Facility/Office","Government of Japan","Japanese Imperial Household Agency",101,"Japan",NA,".",NA,".","","",NA,".",NA,".",NA,".","","",NA,".","Unknown","","","","",-9,NA,NA,"","Unknown.",0,NA,NA,1,0,0,NA,".",NA,NA,".",NA,NA,".",NA,3,"Radiological",NA,".",NA,".",NA,".",NA,".",NA,".",NA,".",NA,".","Monazite",0,0,0,0,0,0,0,NA,".",NA,"",0,NA,NA,NA,NA,"","",0,NA,NA,NA,NA,"",NA,".",NA,"","“Man Questioned Over Radioactive Mail Sent to Government Offices,” Kyodo News Service, June 14, 2000.","Jonathan Watts, “Letter Leads to Nuclear Stash: Earlier Edition (3 star),” The Guardian, June 14, 2000.","Shino Yuasa, “Japanese Police Hunt Radioactive Writer,” Agence France Presse, June 14, 2000.","CETIS",-9,-9,0,-9,"200006060013, 200006060014, 200006060015, 200006060016"
"4",200006060013,2000,6,6,"",0,"",101,"Japan",4,"East Asia","Tokyo (Metropolis)","Tokyo",35.685826,139.756684,1,0,"","06/06/2000:  Tsugio Uchinishi sent envelopes stuffed with monazite to the Japanese Defense Ministry.  No injuries were reported in the incident.",1,1,1,0,NA,".",1,0,0,8,"Unarmed Assault",NA,".",NA,".",2,"Government (General)",21,"Government Building/Facility/Office","Government of Japan","Japanese Defense Ministry",101,"Japan",NA,".",NA,".","","",NA,".",NA,".",NA,".","","",NA,".","Unknown","","","","",-9,NA,NA,"","Unknown.",0,NA,NA,1,0,0,NA,".",NA,NA,".",NA,NA,".",NA,3,"Radiological",NA,".",NA,".",NA,".",NA,".",NA,".",NA,".",NA,".","Monazite",0,0,0,0,0,0,0,NA,".",NA,"",0,NA,NA,NA,NA,"","",0,NA,NA,NA,NA,"",NA,".",NA,"","“Man Questioned Over Radioactive Mail Sent to Government Offices,” Kyodo News Service, June 14, 2000.","Jonathan Watts, “Letter Leads to Nuclear Stash: Earlier Edition (3 star),” The Guardian, June 14, 2000.","Shino Yuasa, “Japanese Police Hunt Radioactive Writer,” Agence France Presse, June 14, 2000.","CETIS",-9,-9,0,-9,"200006060012, 200006060014, 200006060015, 200006060016"
"5",200006060014,2000,6,6,"",0,"",101,"Japan",4,"East Asia","Tokyo (Metropolis)","Tokyo",35.685826,139.756684,1,0,"","06/06/2000:  Tsugio Uchinishi sent envelopes stuffed with monazite to the Japanese National Public Safety Commission.  No injuries were reported in the incident.",1,1,1,0,NA,".",1,0,0,8,"Unarmed Assault",NA,".",NA,".",2,"Government (General)",21,"Government Building/Facility/Office","Government of Japan","Japanese National Public Safety Commission",101,"Japan",NA,".",NA,".","","",NA,".",NA,".",NA,".","","",NA,".","Unknown","","","","",-9,NA,NA,"","Unknown.",0,NA,NA,1,0,0,NA,".",NA,NA,".",NA,NA,".",NA,3,"Radiological",NA,".",NA,".",NA,".",NA,".",NA,".",NA,".",NA,".","Monazite",0,0,0,0,0,0,0,NA,".",NA,"",0,NA,NA,NA,NA,"","",0,NA,NA,NA,NA,"",NA,".",NA,"","“Man Questioned Over Radioactive Mail Sent to Government Offices,” Kyodo News Service, June 14, 2000.","Jonathan Watts, “Letter Leads to Nuclear Stash: Earlier Edition (3 star),” The Guardian, June 14, 2000.","Shino Yuasa, “Japanese Police Hunt Radioactive Writer,” Agence France Presse, June 14, 2000.","CETIS",-9,-9,0,-9,"200006060012, 200006060013, 200006060015, 200006060016"
"6",200006060015,2000,6,6,"",0,"",101,"Japan",4,"East Asia","Tokyo (Metropolis)","Tokyo",35.685826,139.756684,1,0,"","06/06/2000:  Tsugio Uchinishi sent envelops stuffed with monazite to the Japanese Education Ministry.  No injuries were reported in the incident.",1,1,1,0,NA,".",1,0,0,8,"Unarmed Assault",NA,".",NA,".",2,"Government (General)",21,"Government Building/Facility/Office","Government of Japan","Japanese Education Ministry",101,"Japan",NA,".",NA,".","","",NA,".",NA,".",NA,".","","",NA,".","Unknown","","","","",-9,NA,NA,"","Unknown.",0,NA,NA,1,0,0,NA,".",NA,NA,".",NA,NA,".",NA,3,"Radiological",NA,".",NA,".",NA,".",NA,".",NA,".",NA,".",NA,".","Monazite",0,0,0,0,0,0,0,NA,".",NA,"",0,NA,NA,NA,NA,"","",0,NA,NA,NA,NA,"",NA,".",NA,"","","","","CETIS",-9,-9,0,-9,"200006060012, 200006060013, 200006060014, 200006060016"
"7",200006060016,2000,6,6,"",0,"",101,"Japan",4,"East Asia","Tokyo (Metropolis)","Tokyo",35.685826,139.756684,1,0,"","06/06/2000:  Tsugio Uchinishi sent envelopes stuffed with monazite to the Japanese National Police Agency.  No injuries were reported in the incident.",1,1,1,0,NA,".",1,0,0,8,"Unarmed Assault",NA,".",NA,".",2,"Government (General)",21,"Government Building/Facility/Office","Government of Japan","Japanese National Police Agency",101,"Japan",NA,".",NA,".","","",NA,".",NA,".",NA,".","","",NA,".","Unknown","","","","",-9,NA,NA,"","Unknown.",0,NA,NA,1,0,0,NA,".",NA,NA,".",NA,NA,".",NA,3,"Radiological",NA,".",NA,".",NA,".",NA,".",NA,".",NA,".",NA,".","Monazite",0,0,0,0,0,0,0,NA,".",NA,"",0,NA,NA,NA,NA,"","",0,NA,NA,NA,NA,"",NA,".",NA,"","","","","CETIS",-9,-9,0,-9,"200006060012, 200006060013, 200006060014, 200006060015"
"8",200006070008,2000,6,7,"",0,"",101,"Japan",4,"East Asia","Tokyo (Metropolis)","Tokyo",35.685826,139.756684,1,0,"","06/07/2000:  Tsugio Uchinishi sent envelopes stuffed with monazite to the Japanese Science and Technology Agency.  No injuries were reported in the incident.",1,1,1,0,NA,".",0,0,0,8,"Unarmed Assault",NA,".",NA,".",2,"Government (General)",21,"Government Building/Facility/Office","Government of Japan","Japanese Science and Technology Agency.",101,"Japan",NA,".",NA,".","","",NA,".",NA,".",NA,".","","",NA,".","Unknown","","","","",-9,NA,NA,"","Unknown.",0,NA,NA,1,0,0,NA,".",NA,NA,".",NA,NA,".",NA,3,"Radiological",NA,".",NA,".",NA,".",NA,".",NA,".",NA,".",NA,".","Monazite",0,0,0,0,0,0,0,NA,".",NA,"",0,NA,NA,NA,NA,"","",0,NA,NA,NA,NA,"",NA,".",NA,"","“Man Questioned Over Radioactive Mail Sent to Government Offices,” Kyodo News Service, June 14, 2000.","Jonathan Watts, “Letter Leads to Nuclear Stash: Earlier Edition (3 star),” The Guardian, June 14, 2000.","Shino Yuasa, “Japanese Police Hunt Radioactive Writer,” Agence France Presse, June 14, 2000.","CETIS",-9,-9,0,-9,""
"9",200006080014,2000,6,8,"",0,"",101,"Japan",4,"East Asia","Tokyo (Metropolis)","Tokyo",35.685826,139.756684,1,0,"","06/08/2000:  Tsugio Uchinishi sent envelopes stuffed with monazite to the Japanese Agency of Natural Resources and Energy.  No injuries were reported in the incident.",1,1,1,0,NA,".",1,0,0,8,"Unarmed Assault",NA,".",NA,".",2,"Government (General)",21,"Government Building/Facility/Office","Government of Japan","Japanese Agency of Natural Resources and Energy",101,"Japan",NA,".",NA,".","","",NA,".",NA,".",NA,".","","",NA,".","Unknown","","","","",-9,NA,NA,"","Unknown.",0,NA,NA,1,0,0,NA,".",NA,NA,".",NA,NA,".",NA,3,"Radiological",NA,".",NA,".",NA,".",NA,".",NA,".",NA,".",NA,".","Monazite",0,0,0,0,0,0,0,NA,".",NA,"",0,NA,NA,NA,NA,"","",0,NA,NA,NA,NA,"",NA,".",NA,"","“Man Questioned Over Radioactive Mail Sent to Government Offices,” Kyodo News Service, June 14, 2000.","Jonathan Watts, “Letter Leads to Nuclear Stash: Earlier Edition (3 star),” The Guardian, June 14, 2000.","Shino Yuasa, “Japanese Police Hunt Radioactive Writer,” Agence France Presse, June 14, 2000.","CETIS",-9,-9,0,-9,"200006080015, 200006080016, 200006080017"
"10",200006080015,2000,6,8,"",0,"",101,"Japan",4,"East Asia","Tokyo (Metropolis)","Tokyo",35.685826,139.756684,1,0,"","06/08/2000:  Tsugio Uchinishi sent envelopes stuffed with monazite to the Japanese Home Affairs Ministry.  No injuries were reported in the incident.",1,1,1,0,NA,".",1,0,0,8,"Unarmed Assault",NA,".",NA,".",2,"Government (General)",21,"Government Building/Facility/Office","Government of Japan","Japanese Home Affairs Ministry",101,"Japan",NA,".",NA,".","","",NA,".",NA,".",NA,".","","",NA,".","Unknown","","","","",-9,NA,NA,"","Unknown.",0,NA,NA,1,0,0,NA,".",NA,NA,".",NA,NA,".",NA,3,"Radiological",NA,".",NA,".",NA,".",NA,".",NA,".",NA,".",NA,".","Monazite",0,0,0,0,0,0,0,NA,".",NA,"",0,NA,NA,NA,NA,"","",0,NA,NA,NA,NA,"",NA,".",NA,"","“Man Questioned Over Radioactive Mail Sent to Government Offices,” Kyodo News Service, June 14, 2000.","Jonathan Watts, “Letter Leads to Nuclear Stash: Earlier Edition (3 star),” The Guardian, June 14, 2000.","Shino Yuasa, “Japanese Police Hunt Radioactive Writer,” Agence France Presse, June 14, 2000.","CETIS",-9,-9,0,-9,"200006080014, 200006080016, 200006080017"
