"","eventid","iyear","imonth","iday","approxdate","extended","resolution","country","country_txt","region","region_txt","provstate","city","latitude","longitude","specificity","vicinity","location","summary","crit1","crit2","crit3","doubtterr","alternative","alternative_txt","multiple","success","suicide","attacktype1","attacktype1_txt","attacktype2","attacktype2_txt","attacktype3","attacktype3_txt","targtype1","targtype1_txt","targsubtype1","targsubtype1_txt","corp1","target1","natlty1","natlty1_txt","targtype2","targtype2_txt","targsubtype2","targsubtype2_txt","corp2","target2","natlty2","natlty2_txt","targtype3","targtype3_txt","targsubtype3","targsubtype3_txt","corp3","target3","natlty3","natlty3_txt","gname","gsubname","gname2","gsubname2","gname3","ingroup","ingroup2","ingroup3","gsubname3","motive","guncertain1","guncertain2","guncertain3","nperps","nperpcap","claimed","claimmode","claimmode_txt","claim2","claimmode2","claimmode2_txt","claim3","claimmode3","claimmode3_txt","compclaim","weaptype1","weaptype1_txt","weapsubtype1","weapsubtype1_txt","weaptype2","weaptype2_txt","weapsubtype2","weapsubtype2_txt","weaptype3","weaptype3_txt","weapsubtype3","weapsubtype3_txt","weaptype4","weaptype4_txt","weapsubtype4","weapsubtype4_txt","weapdetail","nkill","nkillus","nkillter","nwound","nwoundus","nwoundte","property","propextent","propextent_txt","propvalue","propcomment","ishostkid","nhostkid","nhostkidus","nhours","ndays","divert","kidhijcountry","ransom","ransomamt","ransomamtus","ransompaid","ransompaidus","ransomnote","hostkidoutcome","hostkidoutcome_txt","nreleased","addnotes","scite1","scite2","scite3","dbsource","INT_LOG","INT_IDEO","INT_MISC","INT_ANY","related"
"1",2.00001e+11,2000,1,1,"",0,"",217,"United States",1,"North America","Michigan","Mesick",44.405705,-85.714454,1,1,"at Michigan 115 Highway near Mesick, MI","01/1/2000: Four members of the Earth Liberation Front (ELF) torched commercial logging equipment, including a flat-bed trailer and a large logging tractor, on the side of Michigan Highway 115, near Mesick, Michigan in the Unites States, causing over $18,000 in damage.  There were no casualties in the incident, which was committed to sabotage lumbering activity.  The four perpetrators, Marie Jeanette Mason, Frank Brian Ambrose, Aren Bernard Burthwick, and Stephanie Lynne Fultz, were also indicted for the New Year's Eve Michigan State University arson in 1999 (199912310003).",1,1,1,0,NA,".",0,1,0,7,"Facility/Infrastructure Attack",NA,".",NA,".",1,"Business",5,"Industrial/Textiles/Factory","commercial logging equipment","commercial logging equipment on the side of M-115 Highway near Mesick, MI",217,"United States",NA,".",NA,".","","",NA,".",NA,".",NA,".","","",NA,".","Earth Liberation Front (ELF)","","","","",20147,NA,NA,"","To sabotage lumbering activity.",0,NA,NA,4,4,-9,NA,".",NA,NA,".",NA,NA,".",NA,8,"Incendiary",20,"Gasoline or Alcohol",NA,".",NA,".",NA,".",NA,".",NA,".",NA,".","gasoline, charcoal and matches used to set the fire",0,0,0,0,0,0,1,3,"Minor (likely < $1 million)",18000,"",0,NA,NA,NA,NA,"","",0,NA,NA,NA,NA,"",NA,".",NA,"The four perpetrators were also indicted for the New Year's Eve 1999 arson at Michigan State University (199912310003). For the two incidents, Marie Mason was sentenced to 21 years and 10 months, and Frank Ambrose was sentenced to nine years due to his cooperation with the government;  Burthwick and Fultz were indicted and still awaiting trial as of 2009.","""AG Hall Arsonist Sentenced to 21 Years in Prison,"" States News Service, February 5, 2009.","Art Bukowski, ""Activists planned MSU arson plot in Empire: ELF also accused of arson in Mesick,"" Traverse City Record-Eagle, March 14, 2008.","Justice Department Documents and Publications, ""Four Charged in Earth Liberation Front Arsons  in Michigan,"" Federal Information and News Dispatch, Inc., March 11, 2008.","Eco Project 2010",0,1,0,1,""
"2",2.00001e+11,2000,1,3,"",0,"",217,"United States",1,"North America","California","Petaluma",38.232471,-122.644448,1,0,"","01/03/2000: Unknown suspects set three separate fires on the grounds of the Rancho Veal Corporation in Petaluma, California, U.S.A.. Subsequent investigation determined that an accelerant, believed to be diesel fuel, was used in the attack. The fires damaged office space, two trucks, and an equipment storage facility, resulting in an estimated $150,000 in damages. On March 16, 2000, the North American Animal Liberation Front Press Office released a communiqué stating that a cell of the Animal Liberation Front (ALF), a terrorist animal rights movement, claimed responsibility for the fires. A similar act of attempted arson had been claimed by ALF against the Rancho Veal Corporation in February 1997.  The same ALF cell is suspected in a number of other attacks on business in the Bay area.",1,1,1,0,NA,".",0,1,0,7,"Facility/Infrastructure Attack",NA,".",NA,".",1,"Business",NA,".","Rancho Veal Corporation","Racho Veal office storage facilities and trucks in Petaluma, California",217,"United States",NA,".",NA,".","","",NA,".",NA,".",NA,".","","",NA,".","Animal Liberation Front (ALF)","","","","",291,NA,NA,"","Unknown",0,NA,NA,NA,0,1,1,"Letter",NA,NA,".",NA,NA,".",-9,8,"Incendiary",18,"Arson/Fire",NA,".",NA,".",NA,".",NA,".",NA,".",NA,".","Diesel fuel was used to start the fires.",0,0,0,0,0,0,1,3,"Minor (likely < $1 million)",250000,"Offices, storage facilities, and trucks were burned in the attack.",0,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,"",NA,".",NA,"","""Animal Liberation Front says they attack California Companies,"" Environment News Service, April 16, 2000.","FBI ""Terrorism in the United States 2000/2001"". Counterterrorism Threat Assessment and Warning Unit, Counterterrorism Division. U.S. Department of Justice, Federal Bureau of Investigation.","","CETIS",0,1,0,1,""
"3",2.00001e+11,2000,1,3,"",0,"",217,"United States",1,"North America","Ohio","Cincinnati",39.103175,-84.511981,1,0,"","1/3/2000: In a series of related incidents, a bomb placed in a package was sent to the Cincinnati Planned Parenthood clinic in Ohio, United States.  The device was discovered and subsequently disarmed.",1,1,1,0,NA,".",1,0,0,3,"Bombing/Explosion",NA,".",NA,".",5,"Abortion Related",40,"Clinics","Planned Parenthood","Planned Parenthood of Cincinnati",217,"United States",NA,".",NA,".","","",NA,".",NA,".",NA,".","","",NA,".","Anti-Abortion Activists","","","","",1470,NA,NA,"","To protest the practice of abortion and to sabotage abortion facilities operating in Ohio.",0,NA,NA,-99,-99,0,NA,".",NA,NA,".",NA,NA,".",NA,6,"Explosives/Bombs/Dynamite",9,"Letter Bomb",NA,".",NA,".",NA,".",NA,".",NA,".",NA,".","Shrapnel bombs placed in a package designed to explode upon opening.  It is believed that the device was powerful enough to kill whoever opened it.",0,0,0,0,0,0,0,NA,".",NA,"",0,NA,NA,NA,NA,"","",0,NA,NA,NA,NA,"",NA,".",NA,"","""Abortion Clinics Evacuated After Threats of Anthrax,"" American Health Line, January 4, 2000.","Patricia Baird-Windle and Eleanor J. Bader, ""Targets of Hatred: Anti-Abortion Terrorism,"" Palgrave, 2001.","","Anti-Abortion Project 2010",-9,-9,0,-9,"2.00001E+11"
"4",2.00001e+11,2000,1,3,"",0,"",217,"United States",1,"North America","Ohio","Cincinnati",39.103175,-84.511981,1,0,"","1/3/2000: In a series of related incidents, a bomb placed in a package was sent to an abortion clinic in Cincinnati, Ohio, United States.  The device was discovered and subsequently disarmed.",1,1,1,0,NA,".",1,0,0,3,"Bombing/Explosion",NA,".",NA,".",5,"Abortion Related",40,"Clinics","Abortion clinic in Cincinnati, Ohio","",217,"United States",NA,".",NA,".","","",NA,".",NA,".",NA,".","","",NA,".","Anti-Abortion Activists","","","","",1470,NA,NA,"","To protest the practice of abortion and to sabotage abortion facilities operating in Ohio.",0,NA,NA,-99,-99,0,NA,".",NA,NA,".",NA,NA,".",NA,6,"Explosives/Bombs/Dynamite",9,"Letter Bomb",NA,".",NA,".",NA,".",NA,".",NA,".",NA,".","Shrapnel bombs placed in a package designed to explode upon opening.  It is believed that the device was powerful enough to kill whoever opened it.",0,0,0,0,0,0,0,NA,".",NA,"",0,NA,NA,NA,NA,"","",0,NA,NA,NA,NA,"",NA,".",NA,"This is part of a multiple attack with 200001030008.  The owner of the abortion clinic, Debi Jackson, noticed the suspicious package and notified authorities.  She also alerted the Cincinnati Planned Parenthood.","""Abortion Clinics Evacuated After Threats of Anthrax,"" American Health Line, January 4, 2000.","Patricia Baird-Windle and Eleanor J. Bader, ""Targets of Hatred: Anti-Abortion Terrorism,"" Palgrave, 2001.","","Anti-Abortion Project 2010",-9,-9,0,-9,"2.00001E+11"
"5",2.00001e+11,2000,1,15,"",0,"",217,"United States",1,"North America","California","Petaluma",38.232471,-122.644448,1,0,"at Petaluma Farms in Petaluma, California","01/15/2000: The Animal Liberation Front (ALF) claimed responsibility for placing incendiary devices at the offices and in the cabs of two delivery trucks of Petaluma Farms in Petaluma, California in the United States.  The two trucks were destroyed, and upon a search of the facility, authorities uncovered 6 additional improvised incendiary devices which had failed to ignite. In a later communiqué released by the North American Animal Liberation Front Press Office, ALF took credit for the incident, stating that the farm was targeted because it ""enslaves chickens for their eggs.""  There were no casualties in the incident, and the monetary damage was estimated at $20,000.",1,1,1,0,NA,".",0,1,0,7,"Facility/Infrastructure Attack",NA,".",NA,".",1,"Business",9,"Farm/Ranch","Petaluma Farms","chicken farm in Petaluma, CA",217,"United States",NA,".",NA,".","","",NA,".",NA,".",NA,".","","",NA,".","Animal Liberation Front (ALF)","","","","",291,NA,NA,"","To protest the enslavement of chickens.",0,NA,NA,-99,-99,1,1,"Letter",NA,NA,".",NA,NA,".",NA,8,"Incendiary",18,"Arson/Fire",NA,".",NA,".",NA,".",NA,".",NA,".",NA,".","more than six incendiary devices",0,0,0,0,0,0,1,3,"Minor (likely < $1 million)",20000,"two trucks destroyed",0,NA,NA,NA,NA,"","",0,NA,NA,NA,NA,"",NA,".",NA,"","FBI, ""Terrorism 2000/2001,""FBI, DOJ, 2001.","Suzanne Bohan, ""Some cage-free egg producers fear effects of Prop. 2,"" Contra Costa Times (California), September 24, 2008.","Debra J. Saunders, ""Save the Chickens,"" San Francisco Chronicle, March 26, 2000.","Eco Project 2010",0,1,0,1,""
"6",2.00001e+11,2000,1,20,"",0,"",217,"United States",1,"North America","Indiana","Bloomington",39.16659,-86.534244,1,0,"","01/20/2000: The Earth Liberation Front (ELF) claimed responsibility for setting a luxury home, that was under construction, on fire in Bloomington, Indiana, U.S.A.. The fire caused an estimated $200,000 in damages. ELF says that the home was targeted because it is within the Lake Monroe watershed. In their written statement, the group states, ""this is the drinking water supply for the town of Bloomington, IN, and the surrounding area. It is already being jeopardized by existing development and roads."" Authorities also found the initials ""ELF"" and the words ""No Sprawl"" spray painted near the scene of the attack.",1,1,1,0,NA,".",0,1,0,7,"Facility/Infrastructure Attack",NA,".",NA,".",14,"Private Citizens & Property",76,"House/Apartment/Residence","A Luxury Home","An unfinished luxury home in Bloomington, Indiana",217,"United States",NA,".",NA,".","","",NA,".",NA,".",NA,".","","",NA,".","Earth Liberation Front (ELF)","","","","",20147,NA,NA,"","The home was targeted because it is within the Lake Monroe watershed and supposedly posed a threat to Bloomington's water supply.",0,NA,NA,NA,0,1,5,"Note left at scene",NA,NA,".",NA,NA,".",-9,8,"Incendiary",18,"Arson/Fire",NA,".",NA,".",NA,".",NA,".",NA,".",NA,".","",0,0,0,0,0,0,1,3,"Minor (likely < $1 million)",2e+05,"",0,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,"",NA,".",NA,"Homeowners and the Indiana Crime and Arson association offered $15,000 reward for the capture of the perpetrators.","Associated Press. ""Bloomington house fire reward up to $15,000; Also moved for AMs"" January 31, 2000","Associated Press ""Local ELF group feels backlash due to confusion over fire"". January 26, 2000.","","CETIS",0,1,0,1,""
"7",2.00001e+11,2000,1,24,"",0,"",217,"United States",1,"North America","California","Redwood City",37.484175,-122.227102,1,0,"at Primate Products, Inc. in Redwood City, CA","01/24/2000: The Animal Liberation Front (ALF) claimed credit for an attempted arson of the Primate Products, Inc. in Redwood City, California in the United States.  The perpetrators placed flammable materials inside the mail slot of the facility.  There were no casualties in the incident, but it is unknown if any damage resulted from the materials.",1,1,1,0,NA,".",0,0,0,7,"Facility/Infrastructure Attack",NA,".",NA,".",1,"Business",NA,".","Primate Products, Inc.","a company which makes cages and other animal research equipment for primates in Redwood City, CA",217,"United States",NA,".",NA,".","","",NA,".",NA,".",NA,".","","",NA,".","Animal Liberation Front (ALF)","","","","",291,NA,NA,"","The company made cages and other animal equipment for use in animal laboratory experiments.",0,NA,NA,-99,-99,1,1,"Letter",NA,NA,".",NA,NA,".",NA,8,"Incendiary",18,"Arson/Fire",NA,".",NA,".",NA,".",NA,".",NA,".",NA,".","",0,0,0,0,0,0,0,NA,".",NA,"",0,NA,NA,NA,NA,"","",0,NA,NA,NA,NA,"",NA,".",NA,"","James W. Sweeney, ""Rights Group Takes Credit for 6 Attacks, 3 Meat, Poultry Firms in County Among Victims,"" The Press Democrat, March 17, 2000.","""Animal Liberation Front Says They Attacked California Companies,"" Environmental News Service, March 16, 2000.","Pamela J. Podger, ""Animal-Rights Cell Says It Attacked 6 Local Firms,"" San Francisco Chronicle, March 17, 2000.","Eco Project 2010",0,1,0,1,""
"8",2.00002e+11,2000,2,9,"",0,"",130,"Mexico",1,"North America","Baja California","Tijuana",32.533489,-117.018204,1,0,"Outside of the house of Rodolfo Gallardo Hernandez in Tijuana","2/9/2000: At least four unidentified gunmen shot and killed Rodolfo Gallardo Hernandez, his spouse Marta Delgado, and his son Rodolfo Gallardo Delgado in Tijuana, Baja California, Mexico.  Rodolfo Gallardo Hernandez was a prominent lawyer in Tijuana, a political figure, and the former head of two  bar associations.  The victims were shot outside of their home; the assailants fired a minimum of 50 shots and used three different caliber weapons.  The personal security guard for the Canadian consul and a neighbor of the victims, Fernando Alcala, was also shot and killed in the attack.  The motive behind the attack is unclear.",1,1,1,0,NA,".",0,1,0,2,"Armed Assault",NA,".",NA,".",14,"Private Citizens & Property",68,"Named Civilian","Civilians","Gallardo Hernandez; Marta Delgado; Rodolfo Gallardo Delgado; Fernando Alcala",130,"Mexico",NA,".",NA,".","","",NA,".",NA,".",NA,".","","",NA,".","Gunmen","","","","",710,NA,NA,"","Unknown",0,NA,NA,4,0,0,NA,".",NA,NA,".",NA,NA,".",NA,5,"Firearms",5,"Unknown Gun Type",NA,".",NA,".",NA,".",NA,".",NA,".",NA,".","Three different caliber weapons were used, including a Kalashnikov rifle",4,0,0,0,0,0,-9,NA,".",NA,"",0,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,"",NA,".",NA,"This is possibly a purely criminal act.  Motive and assailants are unknown; there is no reason to suspect terrorism other than the victim's political standing","""Prominent lawyer killed in Tijuana,"" Associated Press, February 11, 2000.","""Former judge murdered in Tijuana; 62 slayings this year in city,"" Associated Press, February 11, 2000.","""Lawyer slain by gunmen in Tijuana; wife, son and security guard also killed outside family's home ,"" Austin American-Statesman, February 12, 2000.","UMD Schmid 2012",-9,-9,0,-9,""
"9",2.00002e+11,2000,2,25,"",0,"",217,"United States",1,"North America","California","Fremont",37.548148,-121.988566,1,0,"","02/25/2000: The Animal Liberation Front (ALF) claimed responsibility for placing four incendiary devices into several B&K Universal trucks, a firm which breeds laboratory animals for research, located in Fremont, California in the United States. The trucks were destroyed by the firebombs. There were no casualties in the incident, and the amount of monetary damage is unknown.",1,1,1,0,NA,".",0,1,0,7,"Facility/Infrastructure Attack",NA,".",NA,".",1,"Business",NA,".","B&K Universal","a firm, which breeds laboratory animals for research in Fremont, CA",217,"United States",NA,".",NA,".","","",NA,".",NA,".",NA,".","","",NA,".","Animal Liberation Front (ALF)","","","","",291,NA,NA,"","ALF claimed the firm ""breeds animals for a fate of torture and death in the vivisection industry.""",0,NA,NA,-99,-99,1,1,"Letter",NA,NA,".",NA,NA,".",NA,8,"Incendiary",18,"Arson/Fire",NA,".",NA,".",NA,".",NA,".",NA,".",NA,".","four incendiary devices",0,0,0,0,0,0,1,4,"Unknown",NA,"trucks destroyed",0,NA,NA,NA,NA,"","",0,NA,NA,NA,NA,"",NA,".",NA,"","James W. Sweeney, ""Animal Activists Blamed in Break-in Farm Bureau Office Ransacked,"" The Press Democrat, March 18, 2000.","Pamela J. Podger, ""Animal-Rights Cell Says It Attacked 6 Local Firms,"" San Francisco Chronicle, March 17, 2000.","Christopher Hewitt, ""Political Violence and Terrorism in Modern America,"" Praeger Security International, 2005.","Eco Project 2010",0,1,0,1,""
"10",2.00003e+11,2000,3,12,"",0,"",217,"United States",1,"North America","Wisconsin","Viroqua",43.557135,-90.888714,1,0,"","03/12/2000: The Animal Liberation Front (ALF) claimed responsibility for setting fire to the Kickapoo Fur Foods business in Viroqua, Wisconsin U.S.A. The fire was started when the perpetrators placed a number of timed incendiary devices inside the premises. Authorities report that damage was minimal, as the fire smoldered itself out by the morning. The Kickapoo Fur Foods company produces food for mink ranches. ALF stated that the company is ""an integral part of the abusive and exploitative"" fur industry. The ALF spokesman went on to state that any business that supports animal exploitation is a ""fair target for action against them.""",1,1,1,0,NA,".",0,1,0,7,"Facility/Infrastructure Attack",NA,".",NA,".",1,"Business",5,"Industrial/Textiles/Factory","Kickapoo Fur Foods","The Kickapoo Fur Foods facility in Viroqua, Wisconsin",217,"United States",NA,".",NA,".","","",NA,".",NA,".",NA,".","","",NA,".","Animal Liberation Front (ALF)","","","","",291,NA,NA,"","Unknown",0,NA,NA,NA,0,1,10,"Unknown",NA,NA,".",NA,NA,".",-9,8,"Incendiary",18,"Arson/Fire",NA,".",NA,".",NA,".",NA,".",NA,".",NA,".","Multiple timed incendiary devices were used in the attack.",0,0,0,0,0,0,1,3,"Minor (likely < $1 million)",NA,"",0,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,"",NA,".",NA,"","Doug Cunningham, ""Animal Liberation Front attempts to burn down a mink feed business,"" Wisconsin Public Radio, March 13, 2000.","“Animal Liberation Front Attacks Mink Business,” Wisconsin State Journal, March 14, 2000.","","CETIS",0,1,0,1,""
