"","eventid","iyear","imonth","iday","approxdate","extended","resolution","country","country_txt","region","region_txt","provstate","city","latitude","longitude","specificity","vicinity","location","summary","crit1","crit2","crit3","doubtterr","alternative","alternative_txt","multiple","success","suicide","attacktype1","attacktype1_txt","attacktype2","attacktype2_txt","attacktype3","attacktype3_txt","targtype1","targtype1_txt","targsubtype1","targsubtype1_txt","corp1","target1","natlty1","natlty1_txt","targtype2","targtype2_txt","targsubtype2","targsubtype2_txt","corp2","target2","natlty2","natlty2_txt","targtype3","targtype3_txt","targsubtype3","targsubtype3_txt","corp3","target3","natlty3","natlty3_txt","gname","gsubname","gname2","gsubname2","gname3","ingroup","ingroup2","ingroup3","gsubname3","motive","guncertain1","guncertain2","guncertain3","nperps","nperpcap","claimed","claimmode","claimmode_txt","claim2","claimmode2","claimmode2_txt","claim3","claimmode3","claimmode3_txt","compclaim","weaptype1","weaptype1_txt","weapsubtype1","weapsubtype1_txt","weaptype2","weaptype2_txt","weapsubtype2","weapsubtype2_txt","weaptype3","weaptype3_txt","weapsubtype3","weapsubtype3_txt","weaptype4","weaptype4_txt","weapsubtype4","weapsubtype4_txt","weapdetail","nkill","nkillus","nkillter","nwound","nwoundus","nwoundte","property","propextent","propextent_txt","propvalue","propcomment","ishostkid","nhostkid","nhostkidus","nhours","ndays","divert","kidhijcountry","ransom","ransomamt","ransomamtus","ransompaid","ransompaidus","ransomnote","hostkidoutcome","hostkidoutcome_txt","nreleased","addnotes","scite1","scite2","scite3","dbsource","INT_LOG","INT_IDEO","INT_MISC","INT_ANY","related"
"1",2.00001e+11,2000,1,2,"",0,"",45,"Colombia",3,"South America","Bogota","Bogota",4.597909,-74.076086,1,0,"","01/02/2000: Police defused a pentonite bomb in downtown Bogota, Colombia before it detonated. The bomb was near a hardware store in a busy pedestrian area. The perpetrators of this incident were unknown.",1,1,1,0,NA,".",0,0,0,3,"Bombing/Explosion",NA,".",NA,".",14,"Private Citizens & Property",75,"Village/City/Town/Suburb","City of Bogota","Downtown Bogota area",45,"Colombia",NA,".",NA,".","","",NA,".",NA,".",NA,".","","",NA,".","Unknown","","","","",-9,NA,NA,"","Unknown",0,NA,NA,NA,0,0,NA,".",NA,NA,".",NA,NA,".",NA,6,"Explosives/Bombs/Dynamite",17,"Other Explosive Type",NA,".",NA,".",NA,".",NA,".",NA,".",NA,".","The bomb consisted of 1 kg of pentonite in a cardboard box.",0,0,0,0,0,0,0,NA,".",NA,"",0,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,"",NA,".",NA,"","“Bogota Police Defuse Powerful 'Pentonite' Bomb,” EFE, January 2, 2000.","","","CETIS",-9,-9,0,-9,""
"2",2.00001e+11,2000,1,2,"",0,"",45,"Colombia",3,"South America","Antioquia","Unknown",7.198606,-75.341218,4,0,"","01/02/2000: Fuerzas Armadas Revolucionarias de Colombia (FARC) dynamited nine electric towers in the Antioquia department, Colombia. Many communities in the area were without electricity for an extended period of time.",1,1,1,0,NA,".",0,1,0,3,"Bombing/Explosion",NA,".",NA,".",21,"Utilities",107,"Electricity","Antioquia Electric Company","Nine electricity towers within the department of Antioquia, Colombia",45,"Colombia",NA,".",NA,".","","",NA,".",NA,".",NA,".","","",NA,".","Revolutionary Armed Forces of Colombia (FARC)","","","","",576,NA,NA,"","Unknown",0,NA,NA,NA,0,0,NA,".",NA,NA,".",NA,NA,".",NA,6,"Explosives/Bombs/Dynamite",28,"Dynamite/TNT",NA,".",NA,".",NA,".",NA,".",NA,".",NA,".","FARC used dynamite in the attack",0,0,0,0,0,0,1,4,"Unknown",NA,"",0,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,"",NA,".",NA,"","“FARC Bombs Another Nine Towers In Antioquia,” Radio Cadena Nacional WWW-Text, January 2, 2000.","","","CETIS",0,0,0,0,""
"3",2.00001e+11,2000,1,4,"",1,"",45,"Colombia",3,"South America","Bogota","Bogota",4.597909,-74.076086,1,0,"","01/04/2000: The International Committee of the Red Cross (ICRC) headquarters in Bogota, Colombia was attacked and forty people were taken hostage. The 100 unidentified perpetrators demanded that the government and the ICRC find them new homes. The hostage-takers had left their homes during the Colombian government's war with local rebel groups. There is no information on what happened to the hostages, but the ICRC suspended operations in the country following this attack.",1,1,1,1,2,"Other Crime Type",0,1,0,7,"Facility/Infrastructure Attack",6,"Hostage Taking (Kidnapping)",NA,".",12,"NGO",62,"International NGO","International Committee of the Red Cross (ICRC)","ICRC headquarters in Bogota, Colombia",999,"Multinational",NA,".",NA,".","","",NA,".",NA,".",NA,".","","",NA,".","Unknown","","","","",-9,NA,NA,"","The perpetrators wanted the government and the ICRC to find them new homes.",0,NA,NA,100,0,0,NA,".",NA,NA,".",NA,NA,".",NA,9,"Melee",21,"Blunt Object",NA,".",NA,".",NA,".",NA,".",NA,".",NA,".","Sticks were used in this attack.",0,0,0,0,0,0,0,NA,".",NA,"",1,40,0,NA,-99,"","",0,NA,NA,NA,NA,"",7,"Unknown",-99,"","Edward F. Mickolus, Terrorism, 1996-2001 : A Chronology, Imprint Westport, CT: Greenwood Press, 2002.","","","CETIS",-9,-9,1,1,""
"4",2.00001e+11,2000,1,7,"",0,"",45,"Colombia",3,"South America","Meta","Puerto Rico district",2.938353,-73.208333,3,0,"The helicopter was approaching Puerto Rico when it was attacked.","01/07/2000: Suspected members of the Fuerzas Armadas Revolucionarias de Colombia (FARC) attacked with rifle fire a Counternarcotics Police helicopter on an operation that had destroyed two cocaine complexes. The attack took place near the town of Puerto Rico.",1,1,1,0,NA,".",0,1,0,2,"Armed Assault",NA,".",NA,".",3,"Police",23,"Police Patrol (including vehicles and convoys)","Colombian Police","A counternarcotics police helicopter near Puerto Rico",45,"Colombia",NA,".",NA,".","","",NA,".",NA,".",NA,".","","",NA,".","Revolutionary Armed Forces of Colombia (FARC)","","","","",576,NA,NA,"","Unknown",1,NA,NA,NA,0,0,NA,".",NA,NA,".",NA,NA,".",NA,5,"Firearms",4,"Rifle/Shotgun (non-automatic)",NA,".",NA,".",NA,".",NA,".",NA,".",NA,".","",0,0,0,0,0,0,-9,NA,".",NA,"",0,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,"",NA,".",NA,"","“Suspected FARC Rebels Attack Narcotics Police Helicopter,” Agence France Presse to Mexico Central America and the Caribbean, January 7, 2000.","","","CETIS",0,0,0,0,""
"5",2.00001e+11,2000,1,9,"",0,"",45,"Colombia",3,"South America","Bogota","Bogota",4.597909,-74.076086,1,0,"","01/09/2000: In Colombia, police defused an 8-kg bomb, placed at the base of a flag pole in a south Bogota park. While no one claimed responsibility for planting the bomb, Ejercito de Liberación Nacional (ELN – Army of National Liberation) was suspected.",1,1,1,0,NA,".",0,0,0,3,"Bombing/Explosion",NA,".",NA,".",14,"Private Citizens & Property",79,"Public Area (garden, parking lot, garage, beach, public building, camp)","","A park in Bogota, Colombia",45,"Colombia",NA,".",NA,".","","",NA,".",NA,".",NA,".","","",NA,".","National Liberation Army of Colombia (ELN)","","","","",359,NA,NA,"","Unknown",1,NA,NA,NA,0,0,NA,".",NA,NA,".",NA,NA,".",NA,6,"Explosives/Bombs/Dynamite",17,"Other Explosive Type",NA,".",NA,".",NA,".",NA,".",NA,".",NA,".","An 8-kg bomb was defused",0,0,0,0,0,0,0,NA,".",NA,"",0,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,"",NA,".",NA,"","“Dijin Report 8-kg Bomb Defused in Bogota,” EFE, January 9, 2000.","","","CETIS",0,0,0,0,""
"6",2.00001e+11,2000,1,12,"",0,"",45,"Colombia",3,"South America","Narino","Puerres",0.884572,-77.503387,1,0,"","01/12/2000: Fuerzas Armadas Revolucionarias de Colombia (FARC) rebels attacked the police station in Puerres, Narino Department, as well as some banks and government facilities with rockets and gas tanks. Several people died.",1,1,1,0,NA,".",1,1,0,2,"Armed Assault",NA,".",NA,".",3,"Police",22,"Police Building (headquarters, station, school)","Colombian Police","Police station in Puerres",45,"Colombia",1,"Business",3,"Bank/Commerce","Bank","Bank branches in Puerres",45,"Colombia",2,"Government (General)",21,"Government Building/Facility/Office","Colombia Government","Government buildings in Puerra",45,"Colombia","Revolutionary Armed Forces of Colombia (FARC)","","","","",576,NA,NA,"","Unknown",0,NA,NA,NA,0,0,NA,".",NA,NA,".",NA,NA,".",NA,5,"Firearms",5,"Unknown Gun Type",6,"Explosives/Bombs/Dynamite",11,"Projectile (rockets, mortars, RPGs, etc.)",8,"Incendiary",20,"Gasoline or Alcohol",NA,".",NA,".","",NA,0,NA,NA,0,NA,1,4,"Unknown",NA,"Numerous facilities were attacked and damaged.",0,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,"",NA,".",NA,"","“FARC Launch Attacks in Narino; 24 People Reported Dead,” Emisoras Caracol Network WWW, January 12, 2000.","","","CETIS",0,0,0,0,"200001120003, 200001120004"
"7",2.00001e+11,2000,1,12,"",0,"",45,"Colombia",3,"South America","Narino","Cordoba",0.85344,-77.51837,1,0,"","01/12/2000: Fuerzas Armadas Revolucionarias de Colombia (FARC) rebels attacked the police station in Cordoba, Narino Department, as well as some banks and government facilities with rockets and gas tanks.",1,1,1,0,NA,".",1,1,0,2,"Armed Assault",NA,".",NA,".",3,"Police",22,"Police Building (headquarters, station, school)","Colombian Police","Police station in Cordoba",45,"Colombia",1,"Business",3,"Bank/Commerce","Bank","Bank branches in Cordoba",45,"Colombia",2,"Government (General)",21,"Government Building/Facility/Office","Colombia Government","Government buildings in Cordoba",45,"Colombia","Revolutionary Armed Forces of Colombia (FARC)","","","","",576,NA,NA,"","Unknown",0,NA,NA,NA,0,0,NA,".",NA,NA,".",NA,NA,".",NA,5,"Firearms",5,"Unknown Gun Type",6,"Explosives/Bombs/Dynamite",11,"Projectile (rockets, mortars, RPGs, etc.)",8,"Incendiary",20,"Gasoline or Alcohol",NA,".",NA,".","",NA,0,NA,NA,0,NA,1,4,"Unknown",NA,"Numerous facilities were attacked and damaged.",0,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,"",NA,".",NA,"","“FARC Launch Attacks in Narino; 24 People Reported Dead,” Emisoras Caracol Network WWW, January 12, 2000.","","","CETIS",0,0,0,0,"200001120002, 200001120004"
"8",2.00001e+11,2000,1,12,"",1,"",45,"Colombia",3,"South America","Narino","Potosi",0.806702,-77.572965,1,0,"","01/12/2000: Fuerzas Armadas Revolucionarias de Colombia (FARC) rebels attacked the police station in Potosi, Narino Department, as well as some banks and government facilities with rockets, gas tanks, and rifles. At least two policemen were injured and two were kidnapped.",1,1,1,0,NA,".",1,1,0,2,"Armed Assault",6,"Hostage Taking (Kidnapping)",NA,".",3,"Police",22,"Police Building (headquarters, station, school)","Colombian Police","Police station in Potosi",45,"Colombia",1,"Business",3,"Bank/Commerce","Bank","Bank branches in Potosi",45,"Colombia",2,"Government (General)",21,"Government Building/Facility/Office","Colombia Government","Government buildings in Potosi",45,"Colombia","Revolutionary Armed Forces of Colombia (FARC)","","","","",576,NA,NA,"","Unknown",0,NA,NA,NA,0,0,NA,".",NA,NA,".",NA,NA,".",NA,5,"Firearms",5,"Unknown Gun Type",6,"Explosives/Bombs/Dynamite",11,"Projectile (rockets, mortars, RPGs, etc.)",8,"Incendiary",20,"Gasoline or Alcohol",NA,".",NA,".","",NA,0,NA,NA,0,NA,1,4,"Unknown",NA,"Numerous facilities were attacked and damaged.",1,2,0,NA,-99,"","",0,NA,NA,NA,NA,"",7,"Unknown",-99,"","“FARC Launch Attacks in Narino; 24 People Reported Dead,” Emisoras Caracol Network WWW, January 12, 2000.","","","CETIS",0,0,0,0,"200001120002, 200001120003"
"9",2.00001e+11,2000,1,17,"",0,"",45,"Colombia",3,"South America","Cundinamarca","Anapoima",4.54939,-74.53601,1,0,"","01/17/2000: A car bomb exploded outside the National Police club in Anapoima. One civilian was injured and significant damage was caused to surrounding buildings. The perpetrators of this attack were unknown.",1,1,1,0,NA,".",0,1,0,3,"Bombing/Explosion",NA,".",NA,".",3,"Police",22,"Police Building (headquarters, station, school)","Colombian National Police","The National Police club in Anapoima",45,"Colombia",NA,".",NA,".","","",NA,".",NA,".",NA,".","","",NA,".","Unknown","","","","",-9,NA,NA,"","Unknown",0,NA,NA,2,0,0,NA,".",NA,NA,".",NA,NA,".",NA,6,"Explosives/Bombs/Dynamite",15,"Vehicle",NA,".",NA,".",NA,".",NA,".",NA,".",NA,".","A car bomb was parked in front of the club",0,0,0,1,0,0,1,4,"Unknown",NA,"Surrounding buildings were seriously damaged",0,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,"",NA,".",NA,"","“Car-Bomb Explodes Outside Police Club in Anapoima,” NOTIMEX, January 17, 2000.","","","CETIS",-9,-9,0,-9,""
"10",2.00001e+11,2000,1,17,"",0,"",45,"Colombia",3,"South America","Antioquia","Unknown",7.198606,-75.341218,4,0,"","01/17/2000: Ejercito de Liberación Nacional (ELN – Army of National Liberation) bombed 21 power towers and power lines in the Antioquia department belonging to Public Enterprises of Medellin and Electrical Inter-Connection, Inc., ISA causing millions to be without power. ELN was protesting the nationalization of one of the power companies and hoped to pressure the government to establish a demilitarized zone for negotiations.",1,1,1,0,NA,".",0,1,0,3,"Bombing/Explosion",7,"Facility/Infrastructure Attack",NA,".",21,"Utilities",107,"Electricity","Public Enterprises of Medellin","Power towers and power lines belonging to Public Enterprises of Medellin",45,"Colombia",21,"Utilities",107,"Electricity","Electrical Inter-Connection, Inc., ISA","Power towers and power lines belonging to Electrical Inter-Connection, Inc., ISA",45,"Colombia",NA,".",NA,".","","",NA,".","National Liberation Army of Colombia (ELN)","","","","",359,NA,NA,"","ELN was protesting the nationalization of one of the power companies and hoped to pressure the government to establish a demilitarized zone for negotiations.",0,NA,NA,NA,0,-9,NA,".",NA,NA,".",NA,NA,".",-9,6,"Explosives/Bombs/Dynamite",16,"Unknown Explosive Type",NA,".",NA,".",NA,".",NA,".",NA,".",NA,".","",0,0,0,0,0,0,1,2,"Major (likely > $1 million but < $1 billion)",NA,"Twenty-one power towers and power lines were exploded",0,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,"",NA,".",NA,"","“ELN Attacks Energy Sector To Pressure Government,” Cambio (Internet version), January 24, 2000.","","","CETIS",0,0,0,0,""
