"","eventid","iyear","imonth","iday","approxdate","extended","resolution","country","country_txt","region","region_txt","provstate","city","latitude","longitude","specificity","vicinity","location","summary","crit1","crit2","crit3","doubtterr","alternative","alternative_txt","multiple","success","suicide","attacktype1","attacktype1_txt","attacktype2","attacktype2_txt","attacktype3","attacktype3_txt","targtype1","targtype1_txt","targsubtype1","targsubtype1_txt","corp1","target1","natlty1","natlty1_txt","targtype2","targtype2_txt","targsubtype2","targsubtype2_txt","corp2","target2","natlty2","natlty2_txt","targtype3","targtype3_txt","targsubtype3","targsubtype3_txt","corp3","target3","natlty3","natlty3_txt","gname","gsubname","gname2","gsubname2","gname3","ingroup","ingroup2","ingroup3","gsubname3","motive","guncertain1","guncertain2","guncertain3","nperps","nperpcap","claimed","claimmode","claimmode_txt","claim2","claimmode2","claimmode2_txt","claim3","claimmode3","claimmode3_txt","compclaim","weaptype1","weaptype1_txt","weapsubtype1","weapsubtype1_txt","weaptype2","weaptype2_txt","weapsubtype2","weapsubtype2_txt","weaptype3","weaptype3_txt","weapsubtype3","weapsubtype3_txt","weaptype4","weaptype4_txt","weapsubtype4","weapsubtype4_txt","weapdetail","nkill","nkillus","nkillter","nwound","nwoundus","nwoundte","property","propextent","propextent_txt","propvalue","propcomment","ishostkid","nhostkid","nhostkidus","nhours","ndays","divert","kidhijcountry","ransom","ransomamt","ransomamtus","ransompaid","ransompaidus","ransomnote","hostkidoutcome","hostkidoutcome_txt","nreleased","addnotes","scite1","scite2","scite3","dbsource","INT_LOG","INT_IDEO","INT_MISC","INT_ANY","related"
"1",2.00001e+11,2000,1,1,"",0,"",185,"Spain",8,"Western Europe","Biscay","Galdacano",43.230556,-2.845833,1,0,"","01/01/2000: A Civil Guard barracks in Galdacano, Vizcaya Province was attacked by Basque radicals with 36 petrol bombs. One person was injured and an unknown amount of damage was done to the facilities.",1,1,1,0,NA,".",0,1,0,2,"Armed Assault",NA,".",NA,".",4,"Military",27,"Military Barracks/Base/Headquarters/Checkpost","Spanish Civil Guard","Civil Guard barracks in Galdacano, Spain",185,"Spain",NA,".",NA,".","","",NA,".",NA,".",NA,".","","",NA,".","Unknown","","","","",-9,NA,NA,"","Unknown",0,NA,NA,NA,0,0,NA,".",NA,NA,".",NA,NA,".",NA,8,"Incendiary",20,"Gasoline or Alcohol",NA,".",NA,".",NA,".",NA,".",NA,".",NA,".","36 petrol bombs were thrown at the barracks",0,0,0,1,0,0,1,4,"Unknown",NA,"",0,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,"",NA,".",NA,"","“Spain: Basque Radicals Fire-Bomb Civil Guard Barracks,” EFE, January 1, 2000.","","","CETIS",-9,-9,0,-9,""
"2",2.00001e+11,2000,1,1,"",0,"",185,"Spain",8,"Western Europe","Biscay","Guernica",43.317073,-2.678975,1,0,"","01/01/2000: A bank in Gernika, Vizcaya Province, was attacked with petrol bombs by unknown perpetrators. Damage was caused to the reception area and windows were broken. No injuries or fatalities were reported.",1,1,1,0,NA,".",0,1,0,2,"Armed Assault",NA,".",NA,".",1,"Business",3,"Bank/Commerce","Bank","A bank in Gernika",185,"Spain",NA,".",NA,".","","",NA,".",NA,".",NA,".","","",NA,".","Unknown","","","","",-9,NA,NA,"","Unknown",0,NA,NA,NA,0,0,NA,".",NA,NA,".",NA,NA,".",NA,8,"Incendiary",20,"Gasoline or Alcohol",NA,".",NA,".",NA,".",NA,".",NA,".",NA,".","Petrol bombs were thrown inside the bank",0,0,0,0,0,0,1,4,"Unknown",NA,"The windows of the bank were broken and the inside, mainly the reception area, was damaged by petrol bombs",0,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,"",NA,".",NA,"","“Spain: Basque Radicals Fire-Bomb Civil Guard Barracks,” EFE, January 1, 2000.","","","CETIS",-9,-9,0,-9,""
"3",2.00001e+11,2000,1,2,"",0,"",75,"Germany",8,"Western Europe","Thuringia","Erfurt",50.973734,11.022435,1,0,"","01/02/2000: The Thuringian Interior Ministry in Erfurt, Germany, was attacked when unknown persons threw a Molotov cocktail at the building from a car. The device landed in front of the building stairs, causing no damage. A previous attack on the building on December 21, 1999, was claimed by the Autonomous Decorators , in protest of the arrest of three members of the Revolutionary Cells/Red Zora. It was speculated that this attack was committed by the same perpetrators.",1,1,1,1,2,"Other Crime Type",0,0,0,2,"Armed Assault",NA,".",NA,".",2,"Government (General)",18,"Government Personnel (excluding police, military)","Thuringian Interior Ministry","The Thuringian Interior Ministry office in Erfurt",75,"Germany",NA,".",NA,".","","",NA,".",NA,".",NA,".","","",NA,".","Autonomous Decorators","","","","",20089,NA,NA,"","Possibly in protest of the arrest of three members of the Revolutionary Cells/Red Zora group.",1,NA,NA,NA,0,0,NA,".",NA,NA,".",NA,NA,".",NA,8,"Incendiary",19,"Molotov Cocktail/Petrol Bomb",NA,".",NA,".",NA,".",NA,".",NA,".",NA,".","A Molotov cocktail was thrown at the building.",0,0,0,0,0,0,0,NA,".",NA,"",0,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,"",NA,".",NA,"","“Two Attacks on Thuringian Interior Ministry Reported,” ddpADN, January 4, 2000.","","","CETIS",0,0,0,0,""
"4",2.00001e+11,2000,1,3,"",0,"",78,"Greece",8,"Western Europe","Attica","Athens",38.013583,23.821808,1,0,"","01/03/2000: A car belonging to the Jordanian Embassy was torched in the Athens suburb of Aghia Paraskevi. A call was later made to a radio station claiming responsibility by the Anarchist Faction, wanting the liberation of individuals Kostas Kalaremas and Nikolaos Maziotis.",1,1,1,0,NA,".",0,1,0,7,"Facility/Infrastructure Attack",NA,".",NA,".",7,"Government (Diplomatic)",45,"Diplomatic Personnel (outside of embassy, consulate)","Jordanian Ministry of Foreign Affairs","A car belonging to the Jordanian Embassy in Athens",102,"Jordan",NA,".",NA,".","","",NA,".",NA,".",NA,".","","",NA,".","Anarchist Faction","","","","",20047,NA,NA,"","The perpetators wanted the liberation of Kostas Kalaremas and Nikolaos Maziotis.",0,NA,NA,NA,0,1,9,"Other",NA,NA,".",NA,NA,".",-9,8,"Incendiary",18,"Arson/Fire",NA,".",NA,".",NA,".",NA,".",NA,".",NA,".","",0,0,0,0,0,0,1,4,"Unknown",NA,"The car was burned",0,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,"",NA,".",NA,"The claim of responsibility was made on a Greek radio station.","“Jordanian Embassy Car Torched in Athens,” (Internet) Athens News Agency WWW, January 3, 2000.","Nivin ‘Abd-Al-Hadi, “Envoy Says Athens Car Attack Does Not Target Jordan,” Amman Al-Dustur, January 4, 2000.","Petros Kasiotis, “Arson Attacks by Greek Anarchist Group Seen,” Elevtheros Tipos, January 4, 2000.","CETIS",0,1,1,1,""
"5",2.00001e+11,2000,1,4,"",0,"",185,"Spain",8,"Western Europe","Biscay","Durango",43.169068,-2.632655,1,0,"","01/04/2000: A group of Basque radicals threw 13 petrol bombs at the front of the Civil Guard barracks in Durango, Vizcaya Province, Spain. None of the petrol bombs exploded and there was no damage or injuries.",1,1,1,0,NA,".",0,0,0,2,"Armed Assault",NA,".",NA,".",4,"Military",27,"Military Barracks/Base/Headquarters/Checkpost","Spanish Civil Guard","Civil Guard barracks in Durango, Spain",185,"Spain",NA,".",NA,".","","",NA,".",NA,".",NA,".","","",NA,".","Unknown","","","","",-9,NA,NA,"","Unknown",0,NA,NA,NA,0,0,NA,".",NA,NA,".",NA,NA,".",NA,8,"Incendiary",20,"Gasoline or Alcohol",NA,".",NA,".",NA,".",NA,".",NA,".",NA,".","13 petrol bombs were thrown at the barracks",0,0,0,0,0,0,0,NA,".",NA,"",0,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,"",NA,".",NA,"","“Spain: Basque Radicals Fire-Bomb Civil Guard Barracks,” RNE-1 Radio Network, January 4, 2000.","","","CETIS",-9,-9,0,-9,""
"6",2.00001e+11,2000,1,4,"",0,"",78,"Greece",8,"Western Europe","Attica","Athens",37.97918,23.716647,1,0,"","01/04/2000: A bomb place outside an Athens branch of the National Bank of Greece by unknown perpetrators was spotted by a bank security guard and defused before it detonated.",1,1,1,0,NA,".",0,0,0,3,"Bombing/Explosion",NA,".",NA,".",1,"Business",3,"Bank/Commerce","National Bank of Greece","The Athens branch of the National Bank of Greece",78,"Greece",NA,".",NA,".","","",NA,".",NA,".",NA,".","","",NA,".","Unknown","","","","",-9,NA,NA,"","Unknown",0,NA,NA,NA,0,0,NA,".",NA,NA,".",NA,NA,".",NA,6,"Explosives/Bombs/Dynamite",16,"Unknown Explosive Type",NA,".",NA,".",NA,".",NA,".",NA,".",NA,".","",0,0,0,0,0,0,0,NA,".",NA,"",0,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,"",NA,".",NA,"","Petros Kasiotis, “Arson Attacks by Greek Anarchist Group Seen,” Elevtheros Tipos, January 4, 2000.","“Firebombs damage cars; other bomb fails to detonate outside bank,” Associated Press Worldstream, January 3, 2000.","","CETIS",-9,-9,0,-9,""
"7",2.00001e+11,2000,1,5,"",0,"",185,"Spain",8,"Western Europe","Guipuzcoa","Donostia-San Sebastian",43.320812,-1.984447,1,0,"","01/05/2000: A clothes shop in San Sebastian, Spain, belonging to a socialist activist was attacked by an unknown group. The windows of the store were broken and the shop was set on fire. The window displays and other parts of the store were damaged.",1,1,1,0,NA,".",0,1,0,2,"Armed Assault",NA,".",NA,".",1,"Business",7,"Retail/Grocery/Bakery","","A clothes shop in San Sebastian",185,"Spain",NA,".",NA,".","","",NA,".",NA,".",NA,".","","",NA,".","Unknown","","","","",-9,NA,NA,"","Unknown",0,NA,NA,NA,0,0,NA,".",NA,NA,".",NA,NA,".",NA,8,"Incendiary",18,"Arson/Fire",NA,".",NA,".",NA,".",NA,".",NA,".",NA,".","",0,0,0,0,0,0,1,4,"Unknown",NA,"The windows of the shop were broken and the inside damaged by fire and smoke",0,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,"",NA,".",NA,"","“Spain: Arson Attack Damages Shop in Basque Country,” EFE, January 6, 2000.","","","CETIS",-9,-9,0,-9,""
"8",2.00001e+11,2000,1,5,"",0,"",185,"Spain",8,"Western Europe","Guipuzcoa","Andoain",43.22048,-2.021122,1,0,"","01/05/2000: The home of Basque Socialist Party (PSE-EE) member Maria Angeles Gonzalez in Andoain, Guipuzcoa Province, was attacked with petrol bombs. An unknown group of hooded individuals threw three petrol bombs into the home after breaking the windows. No injuries or fatalities were reported.",1,1,1,0,NA,".",0,1,0,2,"Armed Assault",NA,".",NA,".",2,"Government (General)",15,"Politician or Political Party Movement/Meeting/Rally","Basque Socialist Party (PSE-EE)","PSE-EE member Maria Angeles Gonzalez",185,"Spain",NA,".",NA,".","","",NA,".",NA,".",NA,".","","",NA,".","Unknown","","","","",-9,NA,NA,"","Unknown",0,NA,NA,NA,0,0,NA,".",NA,NA,".",NA,NA,".",NA,6,"Explosives/Bombs/Dynamite",17,"Other Explosive Type",NA,".",NA,".",NA,".",NA,".",NA,".",NA,".","Three petrol bombs were thrown through the window",0,0,0,0,0,0,1,4,"Unknown",NA,"Fire damaged part of the house",0,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,"",NA,".",NA,"","“Spain: Hooded Basque Gang Fire-Bombs Councillor's Home,” EFE, January 5, 2000.","","","CETIS",-9,-9,0,-9,""
"9",2.00001e+11,2000,1,6,"",0,"",185,"Spain",8,"Western Europe","Guipuzcoa","Donostia-San Sebastian",43.320812,-1.984447,1,0,"","01/06/2000: The cash dispensers of two banks, the Banco Guipuzcoano and the Banco Central Hispano, in San Sebastian, Spain, were set on fire by unknown perpetrators.",1,1,1,1,2,"Other Crime Type",0,1,0,7,"Facility/Infrastructure Attack",NA,".",NA,".",1,"Business",3,"Bank/Commerce","Banco Guipuzcoano","A cash dispenser at a branch of the Banco Guipuzcoano",185,"Spain",1,"Business",3,"Bank/Commerce","Banco Central Hispano","A cash dispenser at a branch of the Banco Central Hispano",185,"Spain",NA,".",NA,".","","",NA,".","Unknown","","","","",-9,NA,NA,"","Unknown",0,NA,NA,NA,0,0,NA,".",NA,NA,".",NA,NA,".",NA,8,"Incendiary",18,"Arson/Fire",NA,".",NA,".",NA,".",NA,".",NA,".",NA,".","",0,0,0,0,0,0,1,4,"Unknown",NA,"The cash dispensers were damaged by fire",0,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,"",NA,".",NA,"","“Spain: Attackers Set Fire To Basque Banks,” EFE, January 6, 2000.","","","CETIS",-9,-9,0,-9,""
"10",2.00001e+11,2000,1,7,"",0,"",603,"United Kingdom",8,"Western Europe","Northern Ireland","Antrim",54.713382,-6.216761,1,0,"County Antrim","01/07/2000: A pipe bomb exploded in the back garden of a house at Andraid Close in the Stiles Estate in Antrim, Northern Ireland. No one was injured in the attack, which authorities believed might have been related to a murder that occurred at that spot on January 1, 2000, although no group claimed responsibility.",1,1,1,1,2,"Other Crime Type",0,1,0,3,"Bombing/Explosion",NA,".",NA,".",14,"Private Citizens & Property",76,"House/Apartment/Residence","Private Property","The back garden of a home at the Stiles Estate in Antrim",233,"Northern Ireland",NA,".",NA,".","","",NA,".",NA,".",NA,".","","",NA,".","Unknown","","","","",-9,NA,NA,"","Unknown",0,NA,NA,NA,0,0,NA,".",NA,NA,".",NA,NA,".",NA,6,"Explosives/Bombs/Dynamite",17,"Other Explosive Type",NA,".",NA,".",NA,".",NA,".",NA,".",NA,".","A pipe bomb was used",0,0,0,0,0,0,0,NA,".",NA,"",0,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,"",NA,".",NA,"Denver Smith, 32, had been murdered at the same location as this incident on January 1, 2000. Three men were charged in connection with his death.","“Blast in N. Ireland Town; None Injured,” Press Association, January 7, 2000.","","","CETIS",-9,-9,1,1,""
